# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1 0.000000000 0.000000000 -2.250000000 0.000000000 0.000000000 0.000000000 1.0000 1.png 1.png
2 0.000466347 0.008953570 -2.249350000 -0.001013580 0.000524530 -0.000231475 1.0000 2.png 2.png
3 -0.000154972 -0.000102997 -2.250660000 -0.004651490 0.000380752 0.000400181 1.0000 3.png 3.png
4 0.000739813 -0.002422570 -2.250760000 -0.004087800 0.000087271 0.000833608 1.0000 4.png 4.png
5 0.000956059 0.003071310 -2.249950000 -0.003150190 0.000068618 0.001171380 1.0000 5.png 5.png
6 0.000857592 0.003340720 -2.250040000 -0.004314300 -0.000021103 0.001471440 1.0000 6.png 6.png
7 0.001461740 0.000481129 -2.250090000 -0.005170740 -0.000283615 0.001799200 1.0000 7.png 7.png
8 0.001451250 0.000549316 -2.250510000 -0.004686470 -0.000061456 0.002000040 1.0000 8.png 8.png
9 0.002906800 0.001941440 -2.250350000 -0.004484700 -0.000076148 0.001866920 1.0000 9.png 9.png
10 0.002741340 0.002512220 -2.250130000 -0.004701720 0.000246652 0.002079840 1.0000 10.png 10.png
11 0.003124950 0.002049920 -2.250710000 -0.005027820 0.000340966 0.002321930 1.0000 11.png 11.png
12 0.003218650 0.000437498 -2.251240000 -0.005133480 0.000349368 0.002812800 1.0000 12.png 12.png
13 0.003304240 -0.000523329 -2.251430000 -0.004889050 0.000331676 0.003255340 1.0000 13.png 13.png
14 0.003527160 -0.001205440 -2.251970000 -0.004585320 0.000135544 0.003416130 1.0000 14.png 14.png
15 0.003583430 -0.001026630 -2.252240000 -0.004154950 0.000002306 0.003496250 1.0000 15.png 15.png
16 0.002826690 -0.001679900 -2.252810000 -0.003893120 0.000113206 0.003303330 1.0000 16.png 16.png
17 0.003294230 -0.002810720 -2.253080000 -0.003809620 0.000160736 0.003049060 1.0000 17.png 17.png
18 0.004587170 -0.003259900 -2.253180000 -0.003465420 0.000525624 0.002435110 1.0000 18.png 18.png
19 0.005007740 -0.003261570 -2.253640000 -0.003171040 0.001173780 0.002344910 1.0000 19.png 19.png
20 0.004082920 -0.004061460 -2.253410000 -0.002918350 0.001989260 0.002349680 1.0000 20.png 20.png
21 0.003648280 -0.003813030 -2.253660000 -0.002272500 0.002884740 0.002358490 1.0000 21.png 21.png
22 0.004164700 -0.002982140 -2.253530000 -0.001840330 0.003492210 0.002363350 1.0000 22.png 22.png
23 0.004936930 -0.002609970 -2.253200000 -0.001668160 0.003944380 0.002495420 1.0000 23.png 23.png
24 0.006200310 -0.002457620 -2.252900000 -0.001750870 0.004378120 0.002337310 1.0000 24.png 24.png
25 0.005705830 -0.001969340 -2.253160000 -0.001734250 0.005347330 0.002418560 1.0000 25.png 25.png
26 0.005985260 -0.002629040 -2.253100000 -0.001933780 0.006308670 0.002565950 1.0000 26.png 26.png
27 0.007912870 -0.001467230 -2.253040000 -0.001822340 0.007180400 0.002835530 1.0000 27.png 27.png
28 0.009172440 -0.002035860 -2.252970000 -0.002014580 0.008180570 0.003617910 1.0000 28.png 28.png
29 0.008395430 -0.000505686 -2.252740000 -0.001979590 0.009721340 0.004606480 0.9999 29.png 29.png
30 0.010602500 -0.000772953 -2.252570000 -0.002387080 0.011078100 0.005488920 0.9999 30.png 30.png
31 0.012426400 -0.001949790 -2.252220000 -0.002555090 0.013010000 0.006821480 0.9999 31.png 31.png
32 0.012207300 -0.001376390 -2.251410000 -0.002290850 0.015829100 0.008127900 0.9998 32.png 32.png
33 0.011879900 -0.001143220 -2.250660000 -0.002412330 0.018750700 0.009246920 0.9998 33.png 33.png
34 0.012155800 -0.001749990 -2.250010000 -0.002549370 0.022152300 0.010854600 0.9997 34.png 34.png
35 0.013484000 -0.000094652 -2.249100000 -0.002259600 0.025265800 0.012472300 0.9996 35.png 35.png
36 0.014562400 -0.000151396 -2.248580000 -0.002549290 0.028522300 0.014308400 0.9995 36.png 36.png
37 0.016132600 0.000748158 -2.246850000 -0.002483430 0.035663500 0.018344600 0.9992 37.png 37.png
38 0.017750500 0.000524282 -2.245840000 -0.002636380 0.039689300 0.020337500 0.9990 38.png 38.png
39 0.019022200 0.000707150 -2.245470000 -0.002492260 0.043539700 0.021878700 0.9988 39.png 39.png
40 0.020605600 0.004235270 -2.243980000 -0.001998440 0.047517200 0.023514700 0.9986 40.png 40.png
41 0.022498600 0.004068610 -2.243650000 -0.003048650 0.051579200 0.025125000 0.9983 41.png 41.png
42 0.024308400 0.001782660 -2.243090000 -0.004043550 0.056149800 0.027165100 0.9980 42.png 42.png
43 0.025688900 0.000257969 -2.242140000 -0.004358480 0.061344900 0.029206000 0.9977 43.png 43.png
44 0.027722800 0.002354620 -2.241050000 -0.003657170 0.066114200 0.031514100 0.9973 44.png 44.png
45 0.055756600 0.002802130 -2.244900000 -0.004449020 0.065333900 0.036086000 0.9972 45.png 45.png
46 0.116089000 0.006135460 -2.255980000 -0.005189470 0.058223200 0.036905900 0.9976 46.png 46.png
47 0.118701000 0.006399630 -2.255600000 -0.005055460 0.063149300 0.038869800 0.9972 47.png 47.png
48 0.121085000 0.007443190 -2.255340000 -0.005112210 0.068128300 0.040917000 0.9968 48.png 48.png
49 0.123650000 0.007686610 -2.255090000 -0.005248020 0.072825800 0.042735200 0.9964 49.png 49.png
50 0.126503000 0.008698460 -2.255270000 -0.005166760 0.077578700 0.044465500 0.9960 50.png 50.png
51 0.129723000 0.009591340 -2.255250000 -0.005213960 0.082108300 0.046180400 0.9955 51.png 51.png
52 0.131111000 0.010472800 -2.255180000 -0.005350570 0.087177700 0.047722000 0.9950 52.png 52.png
53 0.134402000 0.010113700 -2.255630000 -0.005880790 0.092165400 0.049265100 0.9945 53.png 53.png
54 0.137827000 0.007912640 -2.256570000 -0.005817760 0.096863300 0.050879300 0.9940 54.png 54.png
55 0.139239000 0.009402990 -2.256740000 -0.004673130 0.101777000 0.052681400 0.9934 55.png 55.png
56 0.138803000 0.012015600 -2.256140000 -0.004121580 0.106955000 0.054923200 0.9927 56.png 56.png
57 0.140771000 0.013135400 -2.256530000 -0.004008530 0.111493000 0.057284600 0.9921 57.png 57.png
58 0.142633000 0.013604900 -2.257050000 -0.003775000 0.116375000 0.060021700 0.9914 58.png 58.png
59 0.145689000 0.014392400 -2.258180000 -0.003853140 0.120972000 0.062513700 0.9907 59.png 59.png
60 0.147535000 0.014692800 -2.258450000 -0.004274550 0.125770000 0.065489500 0.9899 60.png 60.png
61 0.151124000 0.014830400 -2.259720000 -0.004700020 0.130028000 0.068395300 0.9891 61.png 61.png
62 0.154650000 0.014268600 -2.260800000 -0.004691690 0.134552000 0.071247400 0.9883 62.png 62.png
63 0.158316000 0.016244200 -2.262450000 -0.004341860 0.139153000 0.073747500 0.9875 63.png 63.png
64 0.162320000 0.015979300 -2.264320000 -0.004738980 0.143732000 0.076077800 0.9867 64.png 64.png
65 0.166882000 0.016892900 -2.266610000 -0.004936790 0.148341000 0.078330500 0.9858 65.png 65.png
66 0.170158000 0.017376700 -2.268610000 -0.005152140 0.153438000 0.080707300 0.9848 66.png 66.png
67 0.174742000 0.017098200 -2.271390000 -0.005308930 0.158370000 0.083165000 0.9839 67.png 67.png
68 0.178053000 0.019122600 -2.273250000 -0.005125290 0.163139000 0.085635400 0.9829 68.png 68.png
69 0.180284000 0.020520200 -2.274200000 -0.005423370 0.168125000 0.088531100 0.9818 69.png 69.png
70 0.184296000 0.019973500 -2.276470000 -0.006241130 0.172252000 0.091143700 0.9808 70.png 70.png
71 0.187050000 0.020039300 -2.277950000 -0.006404980 0.176939000 0.094037200 0.9797 71.png 71.png
72 0.189349000 0.020595600 -2.279200000 -0.006767790 0.181896000 0.096737800 0.9785 72.png 72.png
73 0.193712000 0.020946700 -2.281960000 -0.006902770 0.186316000 0.099160200 0.9774 73.png 73.png
74 0.195262000 0.020854200 -2.282840000 -0.006705260 0.191501000 0.101956000 0.9762 74.png 74.png
75 0.200231000 0.023364800 -2.285940000 -0.006602260 0.195605000 0.104038000 0.9751 75.png 75.png
76 0.203217000 0.024618100 -2.288000000 -0.006855900 0.200257000 0.106418000 0.9739 76.png 76.png
77 0.207785000 0.025536800 -2.291410000 -0.007384640 0.204265000 0.108383000 0.9729 77.png 77.png
78 0.211783000 0.025898700 -2.293950000 -0.007742600 0.208242000 0.110684000 0.9718 78.png 78.png
79 0.220322000 0.027018300 -2.300090000 -0.008194810 0.215649000 0.115117000 0.9696 79.png 79.png
80 0.224249000 0.027360700 -2.302570000 -0.007936460 0.219364000 0.117233000 0.9685 80.png 80.png
81 0.227489000 0.030273200 -2.304880000 -0.007630230 0.222982000 0.119133000 0.9675 81.png 81.png
82 0.230647000 0.030596700 -2.306960000 -0.007803640 0.226727000 0.121514000 0.9663 82.png 82.png
83 0.232866000 0.033512400 -2.308340000 -0.007461080 0.230539000 0.123228000 0.9652 83.png 83.png
84 0.236186000 0.034875200 -2.310580000 -0.007702710 0.234000000 0.125266000 0.9641 84.png 84.png
85 0.238253000 0.036041500 -2.311790000 -0.007644340 0.237940000 0.127565000 0.9628 85.png 85.png
86 0.241855000 0.036534100 -2.314110000 -0.007803100 0.241187000 0.129771000 0.9617 86.png 86.png
87 0.245525000 0.035705800 -2.316670000 -0.007881400 0.244217000 0.131973000 0.9607 87.png 87.png
88 0.248251000 0.036228900 -2.318700000 -0.007215410 0.247777000 0.133836000 0.9595 88.png 88.png
89 0.250475000 0.038303900 -2.320260000 -0.006448090 0.251423000 0.135736000 0.9583 89.png 89.png
90 0.252960000 0.039068900 -2.321830000 -0.006311850 0.254786000 0.137847000 0.9571 90.png 90.png
91 0.255958000 0.038232300 -2.323860000 -0.006345180 0.257769000 0.139729000 0.9560 91.png 91.png
92 0.258089000 0.039555800 -2.325720000 -0.005546400 0.260955000 0.140999000 0.9550 92.png 92.png
93 0.260600000 0.040111800 -2.327070000 -0.005152680 0.263929000 0.142282000 0.9540 93.png 93.png
94 0.263729000 0.039794900 -2.329190000 -0.005151290 0.266523000 0.143568000 0.9531 94.png 94.png
95 0.266322000 0.040116500 -2.331530000 -0.004845730 0.269294000 0.144725000 0.9521 95.png 95.png
96 0.268648000 0.040389500 -2.333540000 -0.004436540 0.271995000 0.146026000 0.9511 96.png 96.png
97 0.269561000 0.041497500 -2.334180000 -0.003816460 0.274727000 0.147157000 0.9502 97.png 97.png
98 0.272252000 0.042120000 -2.336410000 -0.003859910 0.276658000 0.148168000 0.9495 98.png 98.png
99 0.273729000 0.043525500 -2.337670000 -0.003724760 0.278609000 0.149170000 0.9487 99.png 99.png
