# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1305031790.6406 0.4388 -0.4332 1.4779 0.8596 -0.3534 0.0838 -0.3594 1305031790.645155.png 1305031790.640468.png
1305031790.6806 0.4389 -0.4402 1.4698 0.8628 -0.3571 0.0780 -0.3492 1305031790.681208.png 1305031790.672866.png
1305031790.7106 0.4390 -0.4459 1.4644 0.8651 -0.3609 0.0735 -0.3406 1305031790.713097.png 1305031790.709421.png
1305031790.7406 0.4393 -0.4516 1.4593 0.8654 -0.3660 0.0699 -0.3350 1305031790.745223.png 1305031790.739530.png
1305031790.7806 0.4404 -0.4592 1.4530 0.8661 -0.3748 0.0642 -0.3244 1305031790.781258.png 1305031790.773548.png
1305031790.8105 0.4414 -0.4650 1.4484 0.8675 -0.3822 0.0577 -0.3131 1305031790.813207.png 1305031790.809521.png
1305031790.8405 0.4425 -0.4708 1.4441 0.8683 -0.3903 0.0519 -0.3018 1305031790.845151.png 1305031790.839363.png
1305031790.8706 0.4443 -0.4764 1.4405 0.8681 -0.3973 0.0494 -0.2934 1305031790.882094.png 1305031790.871606.png
1305031790.9106 0.4468 -0.4835 1.4372 0.8662 -0.4074 0.0484 -0.2851 1305031790.913129.png 1305031790.909436.png
1305031790.9406 0.4486 -0.4886 1.4356 0.8646 -0.4146 0.0491 -0.2797 1305031790.945171.png 1305031790.941495.png
1305031790.9805 0.4510 -0.4949 1.4352 0.8602 -0.4250 0.0499 -0.2773 1305031790.981159.png 1305031790.973696.png
1305031791.0105 0.4529 -0.4992 1.4370 0.8543 -0.4330 0.0543 -0.2824 1305031791.013075.png 1305031791.009486.png
1305031791.0406 0.4549 -0.5034 1.4402 0.8464 -0.4416 0.0620 -0.2910 1305031791.045137.png 1305031791.041197.png
1305031791.0805 0.4572 -0.5088 1.4469 0.8371 -0.4538 0.0742 -0.2965 1305031791.081293.png 1305031791.073525.png
1305031791.1105 0.4585 -0.5122 1.4540 0.8277 -0.4599 0.0913 -0.3084 1305031791.113136.png 1305031791.109452.png
1305031791.1406 0.4595 -0.5154 1.4618 0.8162 -0.4661 0.1129 -0.3222 1305031791.145096.png 1305031791.141330.png
1305031791.1806 0.4606 -0.5190 1.4721 0.8021 -0.4733 0.1411 -0.3358 1305031791.181287.png 1305031791.173227.png
1305031791.2106 0.4609 -0.5207 1.4812 0.7898 -0.4753 0.1650 -0.3509 1305031791.213098.png 1305031791.209506.png
1305031791.2406 0.4612 -0.5222 1.4899 0.7761 -0.4801 0.1875 -0.3634 1305031791.245087.png 1305031791.241091.png
1305031791.2805 0.4610 -0.5230 1.5011 0.7578 -0.4883 0.2147 -0.3757 1305031791.281340.png 1305031791.273558.png
1305031791.3105 0.4604 -0.5227 1.5102 0.7413 -0.4919 0.2378 -0.3899 1305031791.313088.png 1305031791.309764.png
1305031791.3406 0.4593 -0.5221 1.5190 0.7257 -0.4965 0.2582 -0.4002 1305031791.345123.png 1305031791.341415.png
1305031791.3806 0.4574 -0.5204 1.5299 0.7057 -0.5037 0.2805 -0.4118 1305031791.382161.png 1305031791.373525.png
1305031791.4105 0.4557 -0.5180 1.5383 0.6881 -0.5074 0.2953 -0.4265 1305031791.413087.png 1305031791.409609.png
1305031791.4406 0.4535 -0.5156 1.5466 0.6704 -0.5118 0.3085 -0.4399 1305031791.445165.png 1305031791.441538.png
1305031791.4805 0.4502 -0.5119 1.5564 0.6520 -0.5161 0.3222 -0.4526 1305031791.481375.png 1305031791.473230.png
1305031791.5105 0.4478 -0.5083 1.5637 0.6390 -0.5149 0.3327 -0.4647 1305031791.513084.png 1305031791.509595.png
1305031791.5406 0.4449 -0.5047 1.5708 0.6264 -0.5141 0.3427 -0.4753 1305031791.545065.png 1305031791.541450.png
1305031791.5805 0.4414 -0.4997 1.5799 0.6106 -0.5150 0.3558 -0.4852 1305031791.581127.png 1305031791.574034.png
1305031791.6105 0.4379 -0.4959 1.5865 0.6030 -0.5118 0.3648 -0.4912 1305031791.613194.png 1305031791.609401.png
1305031791.6406 0.4342 -0.4921 1.5934 -0.5925 0.5062 -0.3762 0.5012 1305031791.645074.png 1305031791.641229.png
1305031791.6805 0.4290 -0.4874 1.6027 -0.5744 0.5029 -0.3912 0.5139 1305031791.681062.png 1305031791.677621.png
1305031791.7105 0.4250 -0.4842 1.6099 -0.5602 0.5002 -0.4030 0.5230 1305031791.713242.png 1305031791.709275.png
1305031791.7405 0.4210 -0.4810 1.6175 -0.5471 0.4967 -0.4157 0.5304 1305031791.745148.png 1305031791.741364.png
1305031791.7805 0.4151 -0.4773 1.6279 -0.5302 0.4925 -0.4324 0.5379 1305031791.781286.png 1305031791.776668.png
1305031791.8106 0.4105 -0.4749 1.6360 -0.5165 0.4886 -0.4459 0.5438 1305031791.813247.png 1305031791.808429.png
1305031791.8405 0.4062 -0.4727 1.6441 -0.5016 0.4854 -0.4594 0.5493 1305031791.845123.png 1305031791.840375.png
1305031791.8806 0.4004 -0.4700 1.6545 -0.4856 0.4827 -0.4731 0.5545 1305031791.881072.png 1305031791.876494.png
1305031791.9106 0.3964 -0.4681 1.6622 -0.4739 0.4793 -0.4817 0.5601 1305031791.913193.png 1305031791.908433.png
1305031791.9505 0.3912 -0.4662 1.6722 -0.4590 0.4735 -0.4921 0.5682 1305031791.948998.png 1305031791.944357.png
1305031791.9806 0.3874 -0.4651 1.6795 -0.4491 0.4696 -0.5006 0.5721 1305031791.981259.png 1305031791.977200.png
1305031792.0105 0.3837 -0.4642 1.6869 -0.4393 0.4634 -0.5098 0.5765 1305031792.013213.png 1305031792.005506.png
1305031792.0505 0.3797 -0.4631 1.6964 -0.4297 0.4560 -0.5191 0.5814 1305031792.050221.png 1305031792.041730.png
1305031792.0806 0.3772 -0.4629 1.7032 -0.4248 0.4526 -0.5246 0.5827 1305031792.081058.png 1305031792.076713.png
1305031792.1105 0.3747 -0.4630 1.7097 -0.4178 0.4501 -0.5286 0.5860 1305031792.113127.png 1305031792.109497.png
1305031792.1406 0.3724 -0.4635 1.7158 -0.4137 0.4472 -0.5321 0.5880 1305031792.149109.png 1305031792.141484.png
