# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1305031526.6721 1.5015 0.9306 1.4503 0.8703 0.1493 -0.1216 -0.4533 1305031526.671473.png 1305031526.688356.png
1305031526.7222 1.5073 0.9238 1.4565 0.8619 0.1376 -0.1105 -0.4753 1305031526.707547.png 1305031526.721587.png
1305031526.7423 1.5090 0.9197 1.4595 0.8594 0.1326 -0.1047 -0.4825 1305031526.739478.png 1305031526.755957.png
1305031526.7722 1.5119 0.9142 1.4651 -0.8502 -0.1262 0.0954 0.5021 1305031526.771481.png 1305031526.755957.png
1305031526.8221 1.5158 0.9038 1.4741 -0.8317 -0.1170 0.0850 0.5360 1305031526.839480.png 1305031526.822643.png
1305031526.8722 1.5177 0.8921 1.4824 -0.8172 -0.1124 0.0738 0.5605 1305031526.871446.png 1305031526.856844.png
1305031526.9221 1.5189 0.8800 1.4899 -0.8018 -0.1033 0.0631 0.5853 1305031526.907484.png 1305031526.920578.png
1305031526.9421 1.5196 0.8752 1.4926 -0.7958 -0.1012 0.0594 0.5941 1305031526.939618.png 1305031526.955033.png
1305031526.9722 1.5197 0.8664 1.4958 -0.7881 -0.0951 0.0537 0.6058 1305031526.971510.png 1305031526.987606.png
1305031527.0221 1.5212 0.8546 1.5005 -0.7771 -0.0886 0.0473 0.6213 1305031527.007595.png 1305031527.020791.png
1305031527.0421 1.5218 0.8500 1.5023 -0.7711 -0.0861 0.0444 0.6292 1305031527.039512.png 1305031527.055070.png
1305031527.0723 1.5234 0.8450 1.5043 -0.7608 -0.0831 0.0422 0.6422 1305031527.071487.png 1305031527.086965.png
1305031527.1222 1.5249 0.8361 1.5061 -0.7520 -0.0779 0.0389 0.6534 1305031527.107498.png 1305031527.119854.png
1305031527.1421 1.5258 0.8327 1.5068 -0.7480 -0.0759 0.0366 0.6583 1305031527.139473.png 1305031527.155465.png
1305031527.1722 1.5266 0.8284 1.5067 -0.7443 -0.0716 0.0348 0.6630 1305031527.171540.png 1305031527.186447.png
1305031527.2222 1.5271 0.8246 1.5050 -0.7447 -0.0712 0.0330 0.6627 1305031527.207588.png 1305031527.222219.png
1305031527.2422 1.5270 0.8227 1.5035 -0.7493 -0.0687 0.0308 0.6579 1305031527.239531.png 1305031527.256275.png
1305031527.2721 1.5270 0.8228 1.5007 -0.7554 -0.0680 0.0323 0.6509 1305031527.271501.png 1305031527.256275.png
1305031527.3221 1.5263 0.8245 1.4947 -0.7647 -0.0680 0.0377 0.6397 1305031527.407412.png 1305031527.422926.png
1305031527.5322 1.5213 0.8354 1.4665 -0.7993 -0.0665 0.0447 0.5955 1305031527.571506.png 1305031527.586987.png
1305031527.6621 1.5109 0.8411 1.4464 -0.8339 -0.0791 0.0402 0.5447 1305031527.639833.png 1305031527.656028.png
1305031527.6721 1.5107 0.8404 1.4443 -0.8388 -0.0797 0.0411 0.5370 1305031527.671547.png 1305031527.656028.png
1305031527.7222 1.5049 0.8407 1.4378 -0.8468 -0.0845 0.0499 0.5228 1305031527.707520.png 1305031527.721751.png
1305031527.7421 1.5025 0.8402 1.4357 -0.8488 -0.0855 0.0525 0.5191 1305031527.739511.png 1305031527.756472.png
1305031527.7721 1.4984 0.8395 1.4327 -0.8526 -0.0880 0.0560 0.5121 1305031527.771461.png 1305031527.756472.png
1305031527.8221 1.4905 0.8371 1.4280 -0.8569 -0.0943 0.0654 0.5026 1305031527.807581.png 1305031527.825562.png
1305031527.8422 1.4867 0.8363 1.4265 -0.8574 -0.0980 0.0705 0.5003 1305031527.839601.png 1305031527.825562.png
1305031527.8721 1.4804 0.8341 1.4237 0.8603 0.1070 -0.0783 -0.4922 1305031527.871464.png 1305031527.857855.png
1305031527.9221 1.4682 0.8296 1.4199 0.8610 0.1259 -0.0908 -0.4844 1305031527.907477.png 1305031527.922214.png
1305031527.9521 1.4601 0.8260 1.4187 0.8560 0.1420 -0.0998 -0.4870 1305031527.939566.png 1305031527.954490.png
1305031527.9722 1.4545 0.8231 1.4180 0.8531 0.1537 -0.1048 -0.4875 1305031527.971502.png 1305031527.987977.png
1305031528.0221 1.4406 0.8147 1.4165 0.8455 0.1851 -0.1176 -0.4869 1305031528.007566.png 1305031528.025614.png
1305031528.0422 1.4350 0.8113 1.4166 0.8395 0.1968 -0.1235 -0.4911 1305031528.039560.png 1305031528.025614.png
1305031528.0721 1.4269 0.8052 1.4168 0.8321 0.2141 -0.1310 -0.4947 1305031528.071546.png 1305031528.085297.png
1305031528.1221 1.4129 0.7932 1.4174 0.8182 0.2455 -0.1443 -0.4995 1305031528.107513.png 1305031528.124333.png
1305031528.1522 1.4048 0.7853 1.4179 -0.8106 -0.2643 0.1496 0.5008 1305031528.139513.png 1305031528.151873.png
1305031528.1721 1.3999 0.7798 1.4182 -0.8057 -0.2750 0.1516 0.5023 1305031528.171523.png 1305031528.186872.png
1305031528.2221 1.3874 0.7657 1.4195 -0.7865 -0.2963 0.1566 0.5187 1305031528.207527.png 1305031528.220887.png
1305031528.2522 1.3807 0.7565 1.4209 -0.7799 -0.3098 0.1576 0.5205 1305031528.239493.png 1305031528.251953.png
1305031528.2821 1.3735 0.7465 1.4227 -0.7722 -0.3254 0.1648 0.5203 1305031528.275450.png 1305031528.284263.png
1305031528.3221 1.3641 0.7330 1.4267 -0.7549 -0.3484 0.1831 0.5246 1305031528.307665.png 1305031528.321639.png
1305031528.3421 1.3592 0.7261 1.4284 -0.7470 -0.3576 0.1940 0.5259 1305031528.339593.png 1305031528.355032.png
1305031528.3822 1.3504 0.7125 1.4327 -0.7331 -0.3755 0.2168 0.5240 1305031528.375435.png 1305031528.384839.png
1305031528.4221 1.3413 0.6975 1.4376 -0.7176 -0.3955 0.2432 0.5191 1305031528.407459.png 1305031528.424006.png
1305031528.4521 1.3347 0.6863 1.4407 -0.7065 -0.4083 0.2638 0.5143 1305031528.439469.png 1305031528.453962.png
1305031528.4721 1.3311 0.6784 1.4431 -0.7014 -0.4167 0.2744 0.5090 1305031528.475342.png 1305031528.490720.png
1305031528.5121 1.3228 0.6642 1.4473 -0.6837 -0.4354 0.3038 0.5007 1305031528.507469.png 1305031528.490720.png
1305031528.5221 1.3211 0.6603 1.4484 0.6803 0.4409 -0.3093 -0.4971 1305031528.539626.png 1305031528.524649.png
1305031528.5921 1.3113 0.6330 1.4511 0.6604 0.4712 -0.3471 -0.4705 1305031528.607841.png 1305031528.592924.png
1305031528.6521 1.3056 0.6089 1.4488 0.6450 0.4929 -0.3694 -0.4523 1305031528.639487.png 1305031528.654033.png
1305031528.6921 1.3040 0.5925 1.4440 0.6425 0.5062 -0.3720 -0.4387 1305031528.707447.png 1305031528.692143.png
1305031528.7421 1.3022 0.5717 1.4362 0.6380 0.5205 -0.3731 -0.4277 1305031528.739609.png 1305031528.725000.png
1305031528.7921 1.3014 0.5506 1.4259 0.6408 0.5323 -0.3646 -0.4160 1305031528.807559.png 1305031528.792160.png
1305031528.8221 1.3007 0.5375 1.4189 0.6416 0.5400 -0.3608 -0.4081 1305031528.839572.png 1305031528.824057.png
1305031528.8921 1.2976 0.5058 1.4013 0.6458 0.5565 -0.3506 -0.3877 1305031528.907519.png 1305031528.892684.png
1305031528.9221 1.2955 0.4918 1.3934 0.6515 0.5627 -0.3428 -0.3760 1305031528.939602.png 1305031528.924061.png
1305031528.9921 1.2900 0.4558 1.3757 0.6678 0.5603 -0.3374 -0.3554 1305031529.007487.png 1305031528.991870.png
1305031529.0221 1.2871 0.4391 1.3678 0.6790 0.5603 -0.3277 -0.3430 1305031529.039494.png 1305031529.024164.png
1305031529.0921 1.2787 0.3986 1.3500 0.7137 0.5361 -0.3082 -0.3290 1305031529.107523.png 1305031529.092696.png
1305031529.1221 1.2744 0.3797 1.3426 0.7303 0.5215 -0.3009 -0.3229 1305031529.139597.png 1305031529.124051.png
1305031529.1923 1.2621 0.3321 1.3266 0.7720 0.4809 -0.2852 -0.3025 1305031529.207466.png 1305031529.192085.png
1305031529.2222 1.2553 0.3111 1.3207 0.7863 0.4701 -0.2745 -0.2923 1305031529.239515.png 1305031529.224200.png
1305031529.2921 1.2366 0.2624 1.3087 0.8129 0.4527 -0.2394 -0.2773 1305031529.275389.png 1305031529.291235.png
1305031529.3222 1.2275 0.2412 1.3051 0.8225 0.4467 -0.2259 -0.2702 1305031529.339486.png 1305031529.323356.png
1305031529.3920 1.2029 0.1927 1.3001 0.8293 0.4464 -0.2111 -0.2614 1305031529.375399.png 1305031529.388855.png
1305031529.4221 1.1918 0.1728 1.2997 0.8298 0.4474 -0.2067 -0.2617 1305031529.439502.png 1305031529.423010.png
1305031529.4926 1.1653 0.1303 1.3018 0.8295 0.4466 -0.1952 -0.2727 1305031529.475403.png 1305031529.491343.png
1305031529.5221 1.1537 0.1142 1.3035 0.8285 0.4440 -0.1906 -0.2832 1305031529.507485.png 1305031529.522171.png
1305031529.5422 1.1462 0.1041 1.3046 0.8290 0.4417 -0.1865 -0.2879 1305031529.539489.png 1305031529.556350.png
1305031529.5921 1.1262 0.0812 1.3061 0.8328 0.4350 -0.1782 -0.2924 1305031529.607479.png 1305031529.593324.png
1305031529.6221 1.1138 0.0693 1.3065 0.8366 0.4284 -0.1758 -0.2928 1305031529.639746.png 1305031529.623772.png
1305031529.6921 1.0856 0.0459 1.3065 0.8506 0.4072 -0.1684 -0.2868 1305031529.707557.png 1305031529.692840.png
1305031529.7421 1.0645 0.0324 1.3057 0.8593 0.3933 -0.1610 -0.2845 1305031529.739568.png 1305031529.725566.png
1305031529.7621 1.0562 0.0278 1.3053 0.8634 0.3867 -0.1558 -0.2841 1305031529.775501.png 1305031529.759598.png
