# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1305033527.6662 1.4906 -1.1681 0.6610 0.8959 0.0713 -0.0460 -0.4361 1305033527.670034.png 1305033527.667207.png
1305033527.6961 1.4912 -1.1755 0.6596 0.8965 0.0693 -0.0443 -0.4353 1305033527.701984.png 1305033527.699102.png
1305033527.7362 1.4917 -1.1858 0.6578 0.8991 0.0678 -0.0427 -0.4302 1305033527.733905.png 1305033527.731140.png
1305033527.7661 1.4925 -1.1930 0.6564 0.9005 0.0680 -0.0408 -0.4275 1305033527.769943.png 1305033527.767506.png
1305033527.7961 1.4934 -1.1998 0.6552 0.9021 0.0681 -0.0390 -0.4244 1305033527.801981.png 1305033527.798457.png
1305033527.8362 1.4948 -1.2074 0.6545 0.9033 0.0661 -0.0374 -0.4223 1305033527.833907.png 1305033527.831093.png
1305033527.8661 1.4959 -1.2127 0.6539 0.9053 0.0620 -0.0370 -0.4187 1305033527.869941.png 1305033527.866572.png
1305033527.8962 1.4972 -1.2165 0.6535 0.9056 0.0579 -0.0365 -0.4186 1305033527.901960.png 1305033527.898785.png
1305033527.9361 1.4984 -1.2213 0.6528 0.9062 0.0509 -0.0369 -0.4182 1305033527.933929.png 1305033527.931152.png
1305033527.9661 1.4992 -1.2241 0.6523 0.9069 0.0475 -0.0362 -0.4170 1305033527.969980.png 1305033527.967581.png
1305033527.9961 1.4996 -1.2272 0.6520 0.9081 0.0448 -0.0355 -0.4148 1305033528.002019.png 1305033527.999279.png
1305033528.0361 1.4998 -1.2294 0.6513 0.9085 0.0427 -0.0356 -0.4142 1305033528.034009.png 1305033528.031390.png
1305033528.0661 1.4996 -1.2301 0.6512 0.9089 0.0421 -0.0355 -0.4134 1305033528.070091.png 1305033528.067532.png
1305033528.0961 1.4996 -1.2299 0.6510 0.9092 0.0412 -0.0354 -0.4129 1305033528.102036.png 1305033528.099084.png
1305033528.1361 1.4995 -1.2281 0.6513 0.9095 0.0393 -0.0349 -0.4123 1305033528.133965.png 1305033528.131155.png
1305033528.1661 1.4996 -1.2255 0.6518 0.9089 0.0383 -0.0347 -0.4138 1305033528.169886.png 1305033528.167714.png
1305033528.1961 1.4999 -1.2217 0.6520 0.9082 0.0371 -0.0361 -0.4154 1305033528.202011.png 1305033528.198811.png
