# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1305031910.7695 -0.8683 0.6026 1.5627 0.8219 -0.3912 0.1615 -0.3811 1305031910.765238.png 1305031910.771502.png
1305031910.7995 -0.8674 0.6100 1.5631 0.8246 -0.3835 0.1609 -0.3836 1305031910.797230.png 1305031910.803249.png
1305031910.8395 -0.8662 0.6201 1.5629 0.8281 -0.3743 0.1574 -0.3865 1305031910.835208.png 1305031910.835215.png
1305031910.8695 -0.8655 0.6280 1.5626 0.8323 -0.3645 0.1537 -0.3883 1305031910.865025.png 1305031910.871167.png
1305031910.8995 -0.8649 0.6360 1.5621 0.8362 -0.3558 0.1496 -0.3896 1305031910.897222.png 1305031910.903682.png
1305031910.9395 -0.8643 0.6464 1.5617 0.8369 -0.3484 0.1505 -0.3945 1305031910.935211.png 1305031910.935221.png
1305031910.9695 -0.8646 0.6551 1.5613 0.8377 -0.3402 0.1484 -0.4007 1305031910.965249.png 1305031910.971338.png
1305031910.9996 -0.8655 0.6638 1.5602 0.8423 -0.3304 0.1429 -0.4011 1305031910.997325.png 1305031911.003202.png
1305031911.0395 -0.8683 0.6750 1.5597 0.8489 -0.3146 0.1336 -0.4032 1305031911.035050.png 1305031911.035056.png
1305031911.0695 -0.8710 0.6837 1.5593 0.8541 -0.2993 0.1222 -0.4075 1305031911.065269.png 1305031911.074509.png
1305031911.0996 -0.8739 0.6915 1.5594 0.8588 -0.2846 0.1130 -0.4108 1305031911.097196.png 1305031911.103332.png
1305031911.1395 -0.8780 0.7009 1.5608 0.8619 -0.2679 0.1064 -0.4171 1305031911.135664.png 1305031911.135683.png
1305031911.1695 -0.8802 0.7079 1.5613 0.8622 -0.2577 0.1011 -0.4243 1305031911.165177.png 1305031911.171831.png
1305031911.2095 -0.8835 0.7167 1.5622 0.8651 -0.2455 0.0932 -0.4274 1305031911.197213.png 1305031911.207568.png
1305031911.2395 -0.8858 0.7238 1.5628 0.8660 -0.2343 0.0878 -0.4329 1305031911.235651.png 1305031911.235660.png
1305031911.2696 -0.8877 0.7305 1.5631 0.8688 -0.2245 0.0828 -0.4335 1305031911.265104.png 1305031911.268497.png
1305031911.2995 -0.8896 0.7375 1.5633 0.8705 -0.2156 0.0786 -0.4354 1305031911.297334.png 1305031911.303504.png
1305031911.3395 -0.8916 0.7468 1.5634 0.8711 -0.2047 0.0730 -0.4405 1305031911.333191.png 1305031911.339412.png
1305031911.3696 -0.8932 0.7531 1.5632 0.8717 -0.1982 0.0716 -0.4424 1305031911.365235.png 1305031911.371631.png
1305031911.3995 -0.8951 0.7596 1.5635 0.8717 -0.1925 0.0699 -0.4452 1305031911.397333.png 1305031911.403484.png
1305031911.4395 -0.8971 0.7683 1.5628 0.8709 -0.1863 0.0644 -0.4501 1305031911.433256.png 1305031911.439656.png
1305031911.4695 -0.8983 0.7749 1.5617 0.8700 -0.1816 0.0586 -0.4546 1305031911.465250.png 1305031911.471398.png
1305031911.4996 -0.9001 0.7818 1.5603 0.8685 -0.1757 0.0510 -0.4607 1305031911.497291.png 1305031911.503476.png
1305031911.5395 -0.9017 0.7892 1.5587 0.8691 -0.1686 0.0397 -0.4634 1305031911.533251.png 1305031911.539636.png
1305031911.5695 -0.9034 0.7954 1.5573 0.8670 -0.1639 0.0328 -0.4694 1305031911.565335.png 1305031911.571543.png
1305031911.5995 -0.9050 0.8018 1.5555 0.8635 -0.1559 0.0259 -0.4789 1305031911.597302.png 1305031911.603617.png
1305031911.6395 -0.9071 0.8093 1.5528 0.8641 -0.1431 0.0209 -0.4821 1305031911.633337.png 1305031911.639562.png
1305031911.6695 -0.9089 0.8148 1.5506 0.8647 -0.1320 0.0168 -0.4842 1305031911.665124.png 1305031911.671469.png
1305031911.6995 -0.9109 0.8201 1.5479 0.8657 -0.1221 0.0129 -0.4853 1305031911.697167.png 1305031911.705153.png
1305031911.7395 -0.9136 0.8267 1.5438 0.8671 -0.1077 0.0095 -0.4863 1305031911.733203.png 1305031911.739460.png
1305031911.7695 -0.9154 0.8312 1.5408 0.8690 -0.0985 0.0069 -0.4848 1305031911.765284.png 1305031911.771372.png
1305031911.7995 -0.9173 0.8355 1.5376 0.8706 -0.0908 0.0048 -0.4835 1305031911.797297.png 1305031911.803540.png
1305031911.8395 -0.9192 0.8406 1.5334 0.8736 -0.0793 -0.0010 -0.4801 1305031911.833338.png 1305031911.839611.png
1305031911.8695 -0.9206 0.8442 1.5305 0.8760 -0.0718 -0.0083 -0.4768 1305031911.865269.png 1305031911.871650.png
1305031911.8995 -0.9216 0.8470 1.5281 0.8781 -0.0643 -0.0164 -0.4738 1305031911.897159.png 1305031911.904281.png
1305031911.9395 -0.9226 0.8507 1.5252 0.8802 -0.0519 -0.0306 -0.4708 1305031911.933063.png 1305031911.940338.png
1305031911.9695 -0.9232 0.8528 1.5232 0.8824 -0.0399 -0.0448 -0.4666 1305031911.965140.png 1305031911.972044.png
1305031911.9995 -0.9233 0.8551 1.5212 0.8842 -0.0288 -0.0603 -0.4623 1305031911.997252.png 1305031912.004430.png
1305031912.0395 -0.9220 0.8574 1.5188 0.8857 -0.0204 -0.0765 -0.4574 1305031912.033135.png 1305031912.040573.png
1305031912.0695 -0.9208 0.8588 1.5176 0.8862 -0.0144 -0.0850 -0.4552 1305031912.065365.png 1305031912.069771.png
1305031912.0995 -0.9195 0.8596 1.5165 0.8876 -0.0066 -0.0892 -0.4519 1305031912.096953.png 1305031912.104327.png
1305031912.1395 -0.9182 0.8600 1.5161 0.8881 0.0086 -0.0907 -0.4505 1305031912.133282.png 1305031912.139831.png
1305031912.1697 -0.9171 0.8602 1.5157 0.8872 0.0219 -0.0897 -0.4521 1305031912.165138.png 1305031912.171439.png
1305031912.1996 -0.9161 0.8600 1.5156 0.8869 0.0343 -0.0873 -0.4523 1305031912.197357.png 1305031912.204109.png
1305031912.2395 -0.9143 0.8595 1.5159 0.8864 0.0483 -0.0828 -0.4529 1305031912.233265.png 1305031912.239820.png
1305031912.2695 -0.9129 0.8589 1.5163 0.8838 0.0562 -0.0802 -0.4574 1305031912.265090.png 1305031912.272101.png
1305031912.2996 -0.9109 0.8577 1.5172 0.8784 0.0620 -0.0785 -0.4674 1305031912.297250.png 1305031912.303877.png
1305031912.3395 -0.9079 0.8564 1.5184 0.8723 0.0675 -0.0798 -0.4776 1305031912.333274.png 1305031912.340453.png
1305031912.3695 -0.9053 0.8551 1.5192 0.8699 0.0704 -0.0811 -0.4813 1305031912.365250.png 1305031912.371540.png
1305031912.3996 -0.9029 0.8544 1.5200 0.8665 0.0778 -0.0853 -0.4857 1305031912.397198.png 1305031912.403793.png
1305031912.4395 -0.8997 0.8540 1.5208 0.8643 0.0904 -0.0904 -0.4865 1305031912.433290.png 1305031912.438048.png
1305031912.4695 -0.8968 0.8538 1.5208 0.8626 0.1001 -0.0945 -0.4868 1305031912.465142.png 1305031912.472320.png
1305031912.5095 -0.8925 0.8538 1.5206 0.8642 0.1098 -0.0988 -0.4810 1305031912.497123.png 1305031912.508934.png
1305031912.5395 -0.8889 0.8537 1.5204 0.8641 0.1141 -0.1035 -0.4791 1305031912.533113.png 1305031912.540326.png
1305031912.5695 -0.8853 0.8538 1.5200 0.8639 0.1173 -0.1102 -0.4773 1305031912.565146.png 1305031912.572025.png
1305031912.6095 -0.8806 0.8534 1.5201 0.8646 0.1196 -0.1170 -0.4738 1305031912.597090.png 1305031912.607722.png
1305031912.6395 -0.8773 0.8533 1.5202 0.8646 0.1241 -0.1200 -0.4719 1305031912.633132.png 1305031912.637657.png
1305031912.6695 -0.8745 0.8532 1.5202 0.8640 0.1316 -0.1243 -0.4698 1305031912.665220.png 1305031912.672091.png
1305031912.7095 -0.8719 0.8529 1.5202 0.8626 0.1438 -0.1311 -0.4670 1305031912.697182.png 1305031912.708413.png
1305031912.7395 -0.8706 0.8527 1.5201 0.8618 0.1536 -0.1350 -0.4643 1305031912.733125.png 1305031912.740310.png
1305031912.7695 -0.8693 0.8527 1.5199 0.8609 0.1588 -0.1362 -0.4638 1305031912.765193.png 1305031912.772223.png
1305031912.8095 -0.8676 0.8533 1.5195 0.8623 0.1608 -0.1345 -0.4610 1305031912.797155.png 1305031912.809603.png
1305031912.8395 -0.8662 0.8535 1.5188 0.8629 0.1617 -0.1310 -0.4605 1305031912.833077.png 1305031912.840573.png
1305031912.8696 -0.8648 0.8535 1.5186 0.8632 0.1613 -0.1272 -0.4611 1305031912.865153.png 1305031912.872087.png
1305031912.9095 -0.8629 0.8531 1.5187 0.8647 0.1558 -0.1221 -0.4616 1305031912.897198.png 1305031912.908080.png
1305031912.9395 -0.8609 0.8522 1.5187 0.8649 0.1530 -0.1182 -0.4632 1305031912.933115.png 1305031912.940609.png
1305031912.9695 -0.8590 0.8511 1.5193 0.8631 0.1544 -0.1143 -0.4671 1305031912.965034.png 1305031912.972119.png
1305031913.0095 -0.8560 0.8494 1.5201 0.8617 0.1512 -0.1078 -0.4722 1305031912.997049.png 1305031913.008923.png
1305031913.0395 -0.8538 0.8483 1.5206 0.8610 0.1484 -0.1068 -0.4745 1305031913.033133.png 1305031913.040171.png
1305031913.0695 -0.8513 0.8476 1.5208 0.8608 0.1419 -0.1063 -0.4771 1305031913.065209.png 1305031913.072194.png
1305031913.1095 -0.8476 0.8472 1.5209 0.8616 0.1271 -0.1042 -0.4803 1305031913.097038.png 1305031913.108367.png
1305031913.1395 -0.8445 0.8471 1.5204 0.8629 0.1128 -0.0993 -0.4825 1305031913.133146.png 1305031913.137597.png
1305031913.1695 -0.8408 0.8469 1.5196 0.8642 0.0963 -0.0947 -0.4847 1305031913.165211.png 1305031913.172328.png
1305031913.2094 -0.8356 0.8464 1.5180 0.8658 0.0739 -0.0895 -0.4868 1305031913.197113.png 1305031913.208546.png
1305031913.2395 -0.8313 0.8456 1.5167 0.8669 0.0555 -0.0864 -0.4877 1305031913.233126.png 1305031913.240453.png
1305031913.2695 -0.8270 0.8450 1.5148 0.8670 0.0351 -0.0813 -0.4903 1305031913.265022.png 1305031913.272069.png
1305031913.3095 -0.8216 0.8432 1.5127 0.8675 0.0088 -0.0731 -0.4920 1305031913.297160.png 1305031913.308747.png
1305031913.3395 -0.8179 0.8413 1.5109 0.8678 -0.0087 -0.0664 -0.4923 1305031913.333122.png 1305031913.340047.png
