# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1305031229.5332 1.2989 0.6880 1.5734 0.6817 0.5533 -0.0180 -0.4784 1305031229.528748.png 1305031229.528784.png
1305031229.5632 1.2978 0.6868 1.5707 0.6854 0.5650 -0.0392 -0.4576 1305031229.564425.png 1305031229.564442.png
1305031229.5932 1.2967 0.6861 1.5686 0.6895 0.5667 -0.0532 -0.4479 1305031229.596600.png 1305031229.596617.png
1305031229.6332 1.2944 0.6848 1.5650 0.6901 0.5770 -0.0682 -0.4315 1305031229.628753.png 1305031229.628790.png
1305031229.6632 1.2936 0.6835 1.5632 0.6914 0.5800 -0.0785 -0.4235 1305031229.664657.png 1305031229.664358.png
1305031229.6932 1.2922 0.6823 1.5614 0.6907 0.5831 -0.0859 -0.4190 1305031229.696827.png 1305031229.696843.png
1305031229.7331 1.2904 0.6799 1.5587 0.6904 0.5921 -0.1036 -0.4026 1305031229.729064.png 1305031229.729077.png
1305031229.7633 1.2900 0.6782 1.5574 0.6931 0.5938 -0.1149 -0.3922 1305031229.764848.png 1305031229.764869.png
1305031229.7932 1.2888 0.6768 1.5560 0.6921 0.5970 -0.1286 -0.3849 1305031229.796909.png 1305031229.796923.png
1305031229.8232 1.2879 0.6750 1.5548 0.6923 0.6012 -0.1440 -0.3721 1305031229.825613.png 1305031229.825630.png
1305031229.8631 1.2866 0.6722 1.5535 0.6931 0.6056 -0.1629 -0.3554 1305031229.863055.png 1305031229.863062.png
1305031229.8932 1.2853 0.6698 1.5528 0.6906 0.6106 -0.1790 -0.3438 1305031229.896929.png 1305031229.896938.png
1305031229.9232 1.2843 0.6674 1.5518 0.6892 0.6154 -0.1956 -0.3285 1305031229.926248.png 1305031229.926255.png
1305031229.9632 1.2830 0.6641 1.5510 0.6876 0.6192 -0.2158 -0.3118 1305031229.966160.png 1305031229.966241.png
1305031229.9932 1.2820 0.6616 1.5504 0.6857 0.6229 -0.2273 -0.3002 1305031229.997917.png 1305031229.997931.png
1305031230.0331 1.2812 0.6583 1.5501 0.6830 0.6275 -0.2398 -0.2868 1305031230.029991.png 1305031230.030002.png
1305031230.0632 1.2806 0.6559 1.5501 0.6808 0.6292 -0.2504 -0.2789 1305031230.065687.png 1305031230.065696.png
1305031230.1031 1.2796 0.6523 1.5498 0.6780 0.6327 -0.2621 -0.2671 1305031230.098242.png 1305031230.098274.png
1305031230.1331 1.2788 0.6496 1.5495 0.6754 0.6350 -0.2714 -0.2587 1305031230.129919.png 1305031230.129935.png
1305031230.1632 1.2786 0.6468 1.5494 0.6733 0.6380 -0.2787 -0.2491 1305031230.165771.png 1305031230.165780.png
1305031230.1931 1.2779 0.6439 1.5490 0.6693 0.6402 -0.2894 -0.2418 1305031230.197772.png 1305031230.197782.png
1305031230.2331 1.2775 0.6399 1.5488 0.6666 0.6426 -0.2995 -0.2301 1305031230.229830.png 1305031230.229853.png
1305031230.2633 1.2768 0.6371 1.5486 0.6633 0.6441 -0.3100 -0.2214 1305031230.265580.png 1305031230.265590.png
1305031230.2932 1.2774 0.6341 1.5482 0.6622 0.6462 -0.3169 -0.2084 1305031230.297982.png 1305031230.297993.png
1305031230.3331 1.2769 0.6303 1.5486 0.6571 0.6481 -0.3302 -0.1978 1305031230.325685.png 1305031230.335112.png
1305031230.3631 1.2759 0.6279 1.5483 0.6522 0.6512 -0.3403 -0.1864 1305031230.365650.png 1305031230.365680.png
1305031230.3931 1.2754 0.6251 1.5478 0.6490 0.6523 -0.3507 -0.1741 1305031230.397265.png 1305031230.397329.png
1305031230.4231 1.2751 0.6221 1.5477 0.6453 0.6536 -0.3613 -0.1607 1305031230.425670.png 1305031230.436814.png
1305031230.4631 1.2744 0.6172 1.5471 0.6372 0.6554 -0.3807 -0.1392 1305031230.465220.png 1305031230.465312.png
1305031230.4931 1.2741 0.6132 1.5467 0.6304 0.6573 -0.3953 -0.1196 1305031230.497228.png 1305031230.497300.png
1305031230.5331 1.2741 0.6080 1.5468 0.6212 0.6582 -0.4149 -0.0936 1305031230.526720.png 1305031230.530192.png
1305031230.5631 1.2738 0.6037 1.5466 0.6122 0.6594 -0.4301 -0.0742 1305031230.566084.png 1305031230.566115.png
1305031230.6031 1.2744 0.5983 1.5468 0.6007 0.6606 -0.4475 -0.0494 1305031230.598825.png 1305031230.598843.png
1305031230.6332 1.2748 0.5945 1.5467 0.5924 0.6615 -0.4588 -0.0317 1305031230.626028.png 1305031230.631914.png
1305031230.6631 1.2754 0.5908 1.5465 0.5853 0.6621 -0.4677 -0.0162 1305031230.665795.png 1305031230.666047.png
1305031230.6932 1.2756 0.5875 1.5466 0.5789 0.6618 -0.4763 -0.0038 1305031230.697932.png 1305031230.697945.png
1305031230.7331 1.2762 0.5835 1.5469 0.5695 0.6618 -0.4873 0.0146 1305031230.725671.png 1305031230.733641.png
1305031230.7631 1.2767 0.5807 1.5475 0.5612 0.6613 -0.4969 0.0281 1305031230.765854.png 1305031230.765924.png
1305031230.7931 1.2773 0.5779 1.5486 0.5527 0.6594 -0.5079 0.0406 1305031230.797303.png 1305031230.797323.png
1305031230.8331 1.2784 0.5749 1.5503 0.5414 0.6574 -0.5206 0.0605 1305031230.825729.png 1305031230.831757.png
1305031230.8632 1.2792 0.5723 1.5518 0.5315 0.6544 -0.5326 0.0748 1305031230.865523.png 1305031230.865542.png
1305031230.8931 1.2799 0.5704 1.5533 0.5218 0.6521 -0.5428 0.0885 1305031230.897379.png 1305031230.897394.png
1305031230.9232 1.2805 0.5687 1.5545 0.5139 0.6497 -0.5512 0.0998 1305031230.925860.png 1305031230.937310.png
1305031230.9632 1.2808 0.5674 1.5557 0.5076 0.6470 -0.5586 0.1084 1305031230.964976.png 1305031230.965035.png
1305031230.9932 1.2807 0.5669 1.5561 0.5051 0.6461 -0.5610 0.1124 1305031230.997080.png 1305031230.997124.png
1305031231.0232 1.2804 0.5667 1.5563 0.5044 0.6457 -0.5619 0.1138 1305031231.025653.png 1305031231.036750.png
1305031231.0631 1.2796 0.5669 1.5562 0.5051 0.6454 -0.5620 0.1116 1305031231.064422.png 1305031231.064474.png
1305031231.0932 1.2790 0.5673 1.5556 0.5047 0.6474 -0.5600 0.1118 1305031231.096775.png 1305031231.096788.png
1305031231.1331 1.2778 0.5675 1.5548 0.5065 0.6465 -0.5597 0.1105 1305031231.125728.png 1305031231.134711.png
1305031231.1632 1.2772 0.5684 1.5538 0.5086 0.6473 -0.5572 0.1094 1305031231.165241.png 1305031231.165276.png
1305031231.1931 1.2759 0.5693 1.5523 0.5136 0.6479 -0.5527 0.1047 1305031231.197747.png 1305031231.197771.png
1305031231.2332 1.2741 0.5724 1.5501 0.5242 0.6490 -0.5442 0.0890 1305031231.225711.png 1305031231.234468.png
1305031231.2632 1.2725 0.5753 1.5479 0.5362 0.6510 -0.5323 0.0736 1305031231.265594.png 1305031231.265635.png
1305031231.2932 1.2709 0.5791 1.5454 0.5491 0.6531 -0.5186 0.0548 1305031231.297846.png 1305031231.297861.png
1305031231.3331 1.2687 0.5839 1.5421 0.5653 0.6566 -0.4985 0.0278 1305031231.325741.png 1305031231.335152.png
1305031231.3631 1.2675 0.5875 1.5399 0.5754 0.6598 -0.4832 0.0086 1305031231.365066.png 1305031231.365077.png
1305031231.3932 1.2662 0.5911 1.5378 0.5854 0.6606 -0.4699 -0.0102 1305031231.397128.png 1305031231.397330.png
1305031231.4232 1.2657 0.5945 1.5360 0.5949 0.6620 -0.4552 -0.0232 1305031231.425688.png 1305031231.436858.png
1305031231.4632 1.2649 0.5988 1.5333 0.6052 0.6624 -0.4397 -0.0403 1305031231.464918.png 1305031231.464989.png
1305031231.4932 1.2644 0.6016 1.5314 0.6120 0.6615 -0.4301 -0.0533 1305031231.493669.png 1305031231.499244.png
1305031231.5332 1.2639 0.6049 1.5289 0.6203 0.6608 -0.4171 -0.0676 1305031231.525755.png 1305031231.533196.png
1305031231.5631 1.2641 0.6075 1.5272 0.6258 0.6605 -0.4073 -0.0782 1305031231.565052.png 1305031231.565068.png
1305031231.5931 1.2643 0.6099 1.5257 0.6311 0.6610 -0.3959 -0.0894 1305031231.593737.png 1305031231.601317.png
1305031231.6331 1.2647 0.6134 1.5240 0.6373 0.6611 -0.3819 -0.1047 1305031231.625704.png 1305031231.633159.png
1305031231.6631 1.2649 0.6156 1.5228 0.6414 0.6603 -0.3725 -0.1173 1305031231.665045.png 1305031231.665055.png
1305031231.7031 1.2660 0.6187 1.5214 0.6474 0.6608 -0.3558 -0.1329 1305031231.693702.png 1305031231.703508.png
1305031231.7331 1.2666 0.6211 1.5203 0.6523 0.6610 -0.3411 -0.1457 1305031231.725886.png 1305031231.733938.png
1305031231.7631 1.2664 0.6234 1.5191 0.6560 0.6604 -0.3272 -0.1630 1305031231.765478.png 1305031231.765509.png
1305031231.7931 1.2670 0.6261 1.5185 0.6599 0.6607 -0.3104 -0.1781 1305031231.793723.png 1305031231.801191.png
1305031231.8331 1.2678 0.6295 1.5177 0.6649 0.6599 -0.2866 -0.2009 1305031231.825686.png 1305031231.833292.png
1305031231.8631 1.2681 0.6321 1.5177 0.6670 0.6588 -0.2684 -0.2215 1305031231.864940.png 1305031231.864959.png
1305031231.8931 1.2688 0.6346 1.5177 0.6696 0.6572 -0.2504 -0.2389 1305031231.893727.png 1305031231.901270.png
1305031231.9333 1.2696 0.6380 1.5180 0.6729 0.6530 -0.2297 -0.2606 1305031231.925706.png 1305031231.933046.png
1305031231.9632 1.2705 0.6403 1.5183 0.6747 0.6500 -0.2153 -0.2757 1305031231.965010.png 1305031231.965030.png
1305031231.9931 1.2716 0.6424 1.5185 0.6766 0.6470 -0.2033 -0.2870 1305031231.993726.png 1305031232.000720.png
1305031232.0332 1.2728 0.6455 1.5192 0.6794 0.6405 -0.1871 -0.3052 1305031232.025790.png 1305031232.033203.png
1305031232.0631 1.2742 0.6478 1.5199 0.6811 0.6368 -0.1722 -0.3176 1305031232.065122.png 1305031232.065145.png
1305031232.0931 1.2750 0.6498 1.5207 0.6821 0.6328 -0.1602 -0.3297 1305031232.093725.png 1305031232.100799.png
1305031232.1331 1.2767 0.6520 1.5219 0.6834 0.6268 -0.1463 -0.3446 1305031232.125662.png 1305031232.132838.png
1305031232.1631 1.2777 0.6534 1.5228 0.6838 0.6230 -0.1357 -0.3547 1305031232.165032.png 1305031232.165052.png
1305031232.1931 1.2784 0.6549 1.5239 0.6837 0.6189 -0.1244 -0.3662 1305031232.193716.png 1305031232.199224.png
1305031232.2231 1.2796 0.6563 1.5246 0.6843 0.6148 -0.1113 -0.3760 1305031232.225683.png 1305031232.236468.png
1305031232.2634 1.2809 0.6577 1.5261 0.6831 0.6088 -0.0961 -0.3917 1305031232.262691.png 1305031232.262698.png
1305031232.2931 1.2820 0.6587 1.5272 0.6839 0.6049 -0.0799 -0.4000 1305031232.293855.png 1305031232.298025.png
1305031232.3331 1.2826 0.6599 1.5287 0.6812 0.5998 -0.0666 -0.4145 1305031232.325619.png 1305031232.332143.png
1305031232.3631 1.2837 0.6603 1.5296 0.6811 0.5966 -0.0556 -0.4208 1305031232.364738.png 1305031232.364749.png
1305031232.3931 1.2844 0.6609 1.5304 0.6806 0.5933 -0.0465 -0.4272 1305031232.393714.png 1305031232.400878.png
