# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311874903.3229 0.1421 1.0691 1.2456 -0.6185 -0.3110 0.3749 0.6166 1311874903.322796.png 1311874903.334955.png
1311874903.3728 0.1376 1.0670 1.2468 -0.6181 -0.3122 0.3753 0.6162 1311874903.354768.png 1311874903.371976.png
1311874903.3862 0.1356 1.0669 1.2472 -0.6178 -0.3106 0.3749 0.6174 1311874903.386636.png 1311874903.397165.png
1311874903.4229 0.1312 1.0675 1.2479 -0.6176 -0.3102 0.3760 0.6173 1311874903.422796.png 1311874903.435295.png
1311874903.4695 0.1248 1.0685 1.2484 -0.6180 -0.3117 0.3790 0.6142 1311874903.454798.png 1311874903.468351.png
1311874903.4995 0.1206 1.0699 1.2483 -0.6188 -0.3112 0.3787 0.6138 1311874903.486694.png 1311874903.500262.png
1311874903.5229 0.1169 1.0714 1.2479 -0.6181 -0.3115 0.3775 0.6152 1311874903.522779.png 1311874903.532501.png
1311874903.5728 0.1082 1.0750 1.2472 -0.6179 -0.3109 0.3779 0.6154 1311874903.554840.png 1311874903.571510.png
1311874903.5861 0.1060 1.0762 1.2468 -0.6182 -0.3114 0.3778 0.6150 1311874903.586730.png 1311874903.571510.png
1311874903.6228 0.0990 1.0803 1.2454 -0.6189 -0.3110 0.3770 0.6149 1311874903.622735.png 1311874903.634756.png
1311874903.6727 0.0889 1.0870 1.2432 -0.6209 -0.3100 0.3772 0.6132 1311874903.686778.png 1311874903.673011.png
1311874903.7228 0.0772 1.0953 1.2410 -0.6197 -0.3114 0.3798 0.6122 1311874903.722804.png 1311874903.733813.png
1311874903.7729 0.0645 1.1052 1.2387 -0.6175 -0.3122 0.3814 0.6130 1311874903.786751.png 1311874903.772387.png
1311874903.8229 0.0504 1.1166 1.2366 -0.6154 -0.3137 0.3855 0.6118 1311874903.822840.png 1311874903.833200.png
1311874903.8727 0.0347 1.1295 1.2351 -0.6138 -0.3133 0.3901 0.6107 1311874903.886829.png 1311874903.872312.png
1311874903.9228 0.0177 1.1434 1.2334 -0.6139 -0.3134 0.3926 0.6089 1311874903.922754.png 1311874903.933373.png
1311874903.9694 0.0016 1.1568 1.2328 -0.6131 -0.3149 0.3950 0.6073 1311874903.954826.png 1311874903.968409.png
1311874903.9862 -0.0048 1.1618 1.2333 -0.6109 -0.3138 0.3979 0.6083 1311874903.986809.png 1311874904.004709.png
1311874904.0228 -0.0176 1.1722 1.2333 -0.6090 -0.3167 0.4005 0.6070 1311874904.022931.png 1311874904.034044.png
1311874904.0728 -0.0361 1.1877 1.2335 -0.6059 -0.3193 0.4039 0.6065 1311874904.086775.png 1311874904.073362.png
1311874904.1229 -0.0538 1.2027 1.2340 -0.6051 -0.3233 0.4064 0.6034 1311874904.122757.png 1311874904.136942.png
1311874904.1695 -0.0700 1.2151 1.2345 -0.6010 -0.3284 0.4112 0.6015 1311874904.154805.png 1311874904.168677.png
1311874904.1863 -0.0759 1.2196 1.2348 -0.5995 -0.3297 0.4127 0.6013 1311874904.186715.png 1311874904.200252.png
1311874904.2228 -0.0880 1.2283 1.2346 -0.5968 -0.3372 0.4169 0.5969 1311874904.222789.png 1311874904.241679.png
1311874904.2428 -0.0949 1.2335 1.2347 -0.5955 -0.3384 0.4187 0.5963 1311874904.254790.png 1311874904.241679.png
1311874904.2861 -0.1097 1.2439 1.2345 -0.5934 -0.3424 0.4232 0.5930 1311874904.286802.png 1311874904.274541.png
1311874904.3227 -0.1216 1.2519 1.2338 -0.5939 -0.3462 0.4250 0.5889 1311874904.322792.png 1311874904.333316.png
1311874904.3727 -0.1382 1.2614 1.2333 -0.5905 -0.3498 0.4306 0.5861 1311874904.354806.png 1311874904.373042.png
1311874904.3995 -0.1467 1.2662 1.2329 -0.5900 -0.3516 0.4315 0.5849 1311874904.386740.png 1311874904.400107.png
1311874904.4228 -0.1530 1.2699 1.2327 -0.5889 -0.3550 0.4333 0.5827 1311874904.422775.png 1311874904.441614.png
1311874904.4428 -0.1589 1.2727 1.2324 -0.5874 -0.3571 0.4347 0.5818 1311874904.454836.png 1311874904.441614.png
1311874904.4862 -0.1715 1.2786 1.2322 -0.5842 -0.3610 0.4364 0.5813 1311874904.486793.png 1311874904.501059.png
1311874904.5229 -0.1817 1.2821 1.2321 -0.5828 -0.3634 0.4365 0.5811 1311874904.522772.png 1311874904.538981.png
1311874904.5394 -0.1860 1.2833 1.2317 -0.5833 -0.3642 0.4369 0.5799 1311874904.554748.png 1311874904.538981.png
1311874904.5995 -0.2020 1.2874 1.2314 -0.5817 -0.3677 0.4420 0.5754 1311874904.586765.png 1311874904.599876.png
1311874904.6228 -0.2082 1.2889 1.2308 -0.5818 -0.3681 0.4442 0.5734 1311874904.622782.png 1311874904.640411.png
1311874904.6394 -0.2127 1.2897 1.2303 -0.5826 -0.3694 0.4451 0.5710 1311874904.654811.png 1311874904.640411.png
1311874904.6728 -0.2216 1.2909 1.2290 -0.5844 -0.3725 0.4471 0.5655 1311874904.686997.png 1311874904.673562.png
1311874904.7395 -0.2417 1.2929 1.2262 -0.5844 -0.3777 0.4467 0.5624 1311874904.754754.png 1311874904.739477.png
