# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311871922.6835 0.2275 -0.1201 0.9039 0.5522 0.5541 -0.4698 -0.4091 1311871922.668414.png 1311871922.683854.png
1311871922.7035 0.2276 -0.1198 0.9047 0.5525 0.5536 -0.4700 -0.4090 1311871922.704296.png 1311871922.718913.png
1311871922.7368 0.2274 -0.1180 0.9056 0.5517 0.5523 -0.4715 -0.4102 1311871922.736306.png 1311871922.718913.png
1311871922.7567 0.2276 -0.1167 0.9070 0.5514 0.5510 -0.4718 -0.4121 1311871922.768435.png 1311871922.756051.png
1311871922.8035 0.2273 -0.1155 0.9083 0.5507 0.5513 -0.4725 -0.4117 1311871922.804294.png 1311871922.818322.png
1311871922.8368 0.2280 -0.1142 0.9087 0.5500 0.5541 -0.4710 -0.4107 1311871922.836318.png 1311871922.854137.png
1311871922.8534 0.2280 -0.1126 0.9090 0.5495 0.5537 -0.4700 -0.4129 1311871922.868333.png 1311871922.854137.png
1311871922.9201 0.2277 -0.1082 0.9091 0.5508 0.5544 -0.4682 -0.4124 1311871922.904308.png 1311871922.919994.png
1311871922.9368 0.2273 -0.1070 0.9091 0.5506 0.5542 -0.4684 -0.4127 1311871922.936224.png 1311871922.951442.png
1311871922.9834 0.2264 -0.1032 0.9092 0.5510 0.5541 -0.4684 -0.4123 1311871922.968322.png 1311871922.983782.png
1311871923.0201 0.2259 -0.0998 0.9094 0.5515 0.5533 -0.4685 -0.4126 1311871923.004312.png 1311871923.019267.png
1311871923.0368 0.2257 -0.0982 0.9095 0.5514 0.5531 -0.4689 -0.4126 1311871923.036248.png 1311871923.051320.png
1311871923.0834 0.2247 -0.0932 0.9098 0.5526 0.5520 -0.4690 -0.4124 1311871923.068259.png 1311871923.083302.png
1311871923.1035 0.2244 -0.0909 0.9099 0.5532 0.5516 -0.4687 -0.4125 1311871923.104262.png 1311871923.119138.png
1311871923.1534 0.2232 -0.0846 0.9105 0.5538 0.5499 -0.4691 -0.4135 1311871923.168284.png 1311871923.153461.png
1311871923.2201 0.2223 -0.0762 0.9111 0.5541 0.5518 -0.4685 -0.4110 1311871923.204261.png 1311871923.219551.png
1311871923.2368 0.2220 -0.0739 0.9112 0.5542 0.5519 -0.4681 -0.4112 1311871923.236213.png 1311871923.251686.png
1311871923.2834 0.2208 -0.0672 0.9121 0.5532 0.5518 -0.4681 -0.4128 1311871923.268305.png 1311871923.284231.png
1311871923.3201 0.2201 -0.0615 0.9134 0.5534 0.5513 -0.4667 -0.4148 1311871923.336288.png 1311871923.319618.png
1311871923.3534 0.2198 -0.0566 0.9137 0.5518 0.5534 -0.4654 -0.4154 1311871923.368347.png 1311871923.354634.png
1311871923.4201 0.2191 -0.0469 0.9159 0.5495 0.5554 -0.4653 -0.4160 1311871923.404361.png 1311871923.419574.png
1311871923.4368 0.2189 -0.0447 0.9165 0.5491 0.5551 -0.4660 -0.4162 1311871923.436263.png 1311871923.452515.png
1311871923.4801 0.2188 -0.0385 0.9181 0.5464 0.5572 -0.4672 -0.4156 1311871923.468262.png 1311871923.481470.png
1311871923.5035 0.2188 -0.0352 0.9191 0.5454 0.5568 -0.4681 -0.4164 1311871923.504336.png 1311871923.519112.png
1311871923.5370 0.2189 -0.0301 0.9203 0.5447 0.5579 -0.4687 -0.4152 1311871923.536316.png 1311871923.552720.png
1311871923.5535 0.2189 -0.0279 0.9208 0.5444 0.5585 -0.4693 -0.4140 1311871923.568260.png 1311871923.552720.png
1311871923.6200 0.2187 -0.0183 0.9232 0.5439 0.5591 -0.4710 -0.4120 1311871923.604263.png 1311871923.619205.png
1311871923.6368 0.2183 -0.0162 0.9237 0.5431 0.5586 -0.4721 -0.4125 1311871923.636224.png 1311871923.651706.png
1311871923.6667 0.2176 -0.0123 0.9243 0.5421 0.5591 -0.4727 -0.4124 1311871923.668278.png 1311871923.651706.png
1311871923.7201 0.2170 -0.0049 0.9253 0.5408 0.5611 -0.4721 -0.4120 1311871923.736300.png 1311871923.719975.png
1311871923.7534 0.2164 -0.0012 0.9255 0.5386 0.5630 -0.4729 -0.4115 1311871923.768285.png 1311871923.752957.png
1311871923.8034 0.2149 0.0060 0.9261 0.5358 0.5655 -0.4729 -0.4118 1311871923.804344.png 1311871923.819006.png
1311871923.8368 0.2148 0.0099 0.9260 0.5340 0.5678 -0.4743 -0.4093 1311871923.836246.png 1311871923.849378.png
1311871923.8690 0.2142 0.0140 0.9261 0.5339 0.5691 -0.4746 -0.4073 1311871923.868344.png 1311871923.884139.png
1311871923.9037 0.2131 0.0186 0.9267 0.5313 0.5701 -0.4780 -0.4052 1311871923.904325.png 1311871923.918232.png
1311871923.9368 0.2121 0.0228 0.9273 0.5300 0.5714 -0.4798 -0.4029 1311871923.936313.png 1311871923.951214.png
1311871923.9801 0.2113 0.0282 0.9276 0.5260 0.5742 -0.4826 -0.4009 1311871923.968454.png 1311871923.981736.png
1311871924.0203 0.2099 0.0328 0.9279 0.5227 0.5760 -0.4837 -0.4013 1311871924.004263.png 1311871924.019771.png
1311871924.0501 0.2092 0.0359 0.9278 0.5208 0.5778 -0.4839 -0.4010 1311871924.036277.png 1311871924.049880.png
1311871924.0668 0.2089 0.0379 0.9278 0.5191 0.5793 -0.4842 -0.4005 1311871924.068184.png 1311871924.085258.png
1311871924.1044 0.2075 0.0413 0.9275 0.5157 0.5807 -0.4864 -0.4004 1311871924.104352.png 1311871924.119336.png
1311871924.1368 0.2073 0.0459 0.9273 0.5150 0.5847 -0.4827 -0.3999 1311871924.136271.png 1311871924.152257.png
1311871924.1533 0.2071 0.0464 0.9269 0.5139 0.5865 -0.4832 -0.3980 1311871924.168322.png 1311871924.152257.png
1311871924.2201 0.2059 0.0514 0.9274 0.5101 0.5896 -0.4837 -0.3978 1311871924.204412.png 1311871924.219193.png
1311871924.2368 0.2058 0.0525 0.9276 0.5098 0.5901 -0.4837 -0.3974 1311871924.236265.png 1311871924.251336.png
1311871924.2501 0.2059 0.0533 0.9280 0.5102 0.5908 -0.4835 -0.3961 1311871924.268231.png 1311871924.251336.png
1311871924.3200 0.2049 0.0589 0.9304 0.5082 0.5921 -0.4843 -0.3957 1311871924.304306.png 1311871924.319165.png
1311871924.3368 0.2047 0.0604 0.9310 0.5079 0.5924 -0.4841 -0.3958 1311871924.336411.png 1311871924.349640.png
1311871924.3867 0.2035 0.0635 0.9329 0.5053 0.5935 -0.4853 -0.3960 1311871924.368255.png 1311871924.385640.png
1311871924.4034 0.2017 0.0643 0.9340 0.5041 0.5899 -0.4878 -0.3998 1311871924.404269.png 1311871924.418630.png
1311871924.4500 0.2021 0.0671 0.9353 0.5007 0.5930 -0.4890 -0.3982 1311871924.468309.png 1311871924.449508.png
1311871924.5200 0.2008 0.0709 0.9359 0.5003 0.5937 -0.4893 -0.3973 1311871924.504406.png 1311871924.519902.png
1311871924.5367 0.2004 0.0721 0.9358 0.5002 0.5939 -0.4888 -0.3977 1311871924.536204.png 1311871924.550655.png
1311871924.5501 0.2003 0.0730 0.9357 0.5003 0.5941 -0.4886 -0.3975 1311871924.568264.png 1311871924.550655.png
1311871924.6202 0.1994 0.0769 0.9360 0.4989 0.5945 -0.4889 -0.3984 1311871924.604285.png 1311871924.619573.png
1311871924.6367 0.1996 0.0780 0.9361 0.4991 0.5953 -0.4890 -0.3966 1311871924.636267.png 1311871924.651242.png
1311871924.6500 0.1992 0.0789 0.9361 0.4996 0.5946 -0.4895 -0.3966 1311871924.668283.png 1311871924.651242.png
1311871924.7201 0.1973 0.0838 0.9359 0.5020 0.5912 -0.4914 -0.3962 1311871924.704269.png 1311871924.720232.png
1311871924.7367 0.1974 0.0854 0.9357 0.5029 0.5926 -0.4900 -0.3948 1311871924.736278.png 1311871924.751532.png
1311871924.7669 0.1971 0.0882 0.9355 0.5044 0.5936 -0.4883 -0.3934 1311871924.768275.png 1311871924.751532.png
1311871924.8203 0.1956 0.0930 0.9352 0.5053 0.5930 -0.4875 -0.3942 1311871924.804258.png 1311871924.819850.png
1311871924.8367 0.1953 0.0943 0.9350 0.5055 0.5939 -0.4867 -0.3935 1311871924.836286.png 1311871924.819850.png
1311871924.8534 0.1945 0.0955 0.9349 0.5043 0.5936 -0.4878 -0.3941 1311871924.868178.png 1311871924.854143.png
1311871924.9034 0.1928 0.1006 0.9354 0.5015 0.5956 -0.4874 -0.3953 1311871924.904346.png 1311871924.888291.png
1311871924.9367 0.1915 0.1039 0.9356 0.4985 0.5972 -0.4879 -0.3960 1311871924.936215.png 1311871924.921429.png
1311871924.9534 0.1905 0.1052 0.9357 0.4969 0.5976 -0.4887 -0.3963 1311871924.968205.png 1311871924.953135.png
1311871925.0200 0.1873 0.1115 0.9364 0.4931 0.5988 -0.4904 -0.3972 1311871925.004328.png 1311871925.019501.png
1311871925.0368 0.1859 0.1133 0.9363 0.4915 0.5984 -0.4909 -0.3992 1311871925.036166.png 1311871925.051516.png
1311871925.0500 0.1854 0.1153 0.9363 0.4907 0.5996 -0.4908 -0.3986 1311871925.068234.png 1311871925.051516.png
1311871925.1200 0.1826 0.1232 0.9366 0.4896 0.6006 -0.4924 -0.3964 1311871925.104319.png 1311871925.120633.png
1311871925.1367 0.1825 0.1254 0.9366 0.4911 0.6013 -0.4908 -0.3954 1311871925.136266.png 1311871925.120633.png
1311871925.1534 0.1815 0.1272 0.9365 0.4912 0.6010 -0.4915 -0.3949 1311871925.168195.png 1311871925.152973.png
1311871925.2034 0.1796 0.1327 0.9362 0.4929 0.6017 -0.4916 -0.3916 1311871925.204242.png 1311871925.219141.png
