# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311870427.1990 -0.1443 -0.3545 1.5209 -0.4879 0.6686 -0.4505 0.3348 1311870427.199132.png 1311870427.207687.png
1311870427.2322 -0.1448 -0.3544 1.5220 -0.4868 0.6683 -0.4511 0.3360 1311870427.231132.png 1311870427.243654.png
1311870427.2755 -0.1455 -0.3541 1.5229 -0.4868 0.6684 -0.4509 0.3360 1311870427.263210.png 1311870427.275849.png
1311870427.2989 -0.1458 -0.3541 1.5234 -0.4867 0.6685 -0.4505 0.3366 1311870427.299143.png 1311870427.307865.png
1311870427.3323 -0.1460 -0.3541 1.5237 -0.4868 0.6689 -0.4495 0.3371 1311870427.331187.png 1311870427.343539.png
1311870427.3755 -0.1463 -0.3540 1.5241 -0.4865 0.6692 -0.4493 0.3370 1311870427.363116.png 1311870427.376229.png
1311870427.3988 -0.1464 -0.3539 1.5244 -0.4864 0.6691 -0.4497 0.3368 1311870427.399237.png 1311870427.409807.png
1311870427.4322 -0.1467 -0.3537 1.5247 -0.4864 0.6692 -0.4499 0.3365 1311870427.431127.png 1311870427.444065.png
1311870427.4755 -0.1471 -0.3534 1.5249 -0.4867 0.6694 -0.4490 0.3368 1311870427.463385.png 1311870427.475706.png
1311870427.4989 -0.1474 -0.3532 1.5250 -0.4871 0.6695 -0.4483 0.3370 1311870427.499447.png 1311870427.509960.png
1311870427.5422 -0.1479 -0.3531 1.5254 -0.4878 0.6694 -0.4475 0.3372 1311870427.531159.png 1311870427.543417.png
1311870427.5622 -0.1480 -0.3528 1.5254 -0.4882 0.6691 -0.4477 0.3369 1311870427.563190.png 1311870427.576552.png
1311870427.5989 -0.1483 -0.3526 1.5256 -0.4881 0.6692 -0.4475 0.3373 1311870427.599086.png 1311870427.612642.png
1311870427.6455 -0.1487 -0.3525 1.5262 -0.4881 0.6688 -0.4476 0.3377 1311870427.631114.png 1311870427.644555.png
1311870427.6623 -0.1488 -0.3525 1.5264 -0.4882 0.6687 -0.4478 0.3375 1311870427.663429.png 1311870427.677318.png
1311870427.6990 -0.1493 -0.3525 1.5269 -0.4884 0.6687 -0.4478 0.3374 1311870427.699151.png 1311870427.712656.png
1311870427.7322 -0.1493 -0.3527 1.5273 -0.4870 0.6651 -0.4510 0.3422 1311870427.731118.png 1311870427.743368.png
1311870427.7625 -0.1498 -0.3528 1.5277 -0.4874 0.6648 -0.4505 0.3428 1311870427.763327.png 1311870427.776830.png
1311870427.7989 -0.1502 -0.3529 1.5280 -0.4872 0.6646 -0.4508 0.3430 1311870427.799196.png 1311870427.811402.png
1311870427.8489 -0.1506 -0.3529 1.5283 -0.4873 0.6639 -0.4516 0.3433 1311870427.831457.png 1311870427.847462.png
1311870427.8756 -0.1509 -0.3530 1.5285 -0.4880 0.6643 -0.4504 0.3432 1311870427.863134.png 1311870427.876521.png
1311870427.9155 -0.1512 -0.3527 1.5285 -0.4895 0.6636 -0.4498 0.3431 1311870427.899231.png 1311870427.915291.png
1311870427.9322 -0.1512 -0.3525 1.5285 -0.4906 0.6632 -0.4493 0.3428 1311870427.931111.png 1311870427.943583.png
1311870427.9623 -0.1514 -0.3525 1.5286 -0.4919 0.6627 -0.4489 0.3425 1311870427.963137.png 1311870427.976538.png
1311870427.9990 -0.1516 -0.3526 1.5288 -0.4914 0.6625 -0.4500 0.3422 1311870427.999083.png 1311870428.011968.png
1311870428.0456 -0.1518 -0.3528 1.5289 -0.4906 0.6627 -0.4507 0.3421 1311870428.031250.png 1311870428.044786.png
1311870428.0756 -0.1519 -0.3529 1.5289 -0.4906 0.6626 -0.4509 0.3421 1311870428.063193.png 1311870428.075808.png
1311870428.0989 -0.1520 -0.3530 1.5290 -0.4904 0.6626 -0.4510 0.3421 1311870428.099167.png 1311870428.113166.png
1311870428.1322 -0.1522 -0.3530 1.5291 -0.4902 0.6625 -0.4513 0.3423 1311870428.131267.png 1311870428.144091.png
1311870428.1756 -0.1524 -0.3529 1.5292 -0.4904 0.6622 -0.4514 0.3424 1311870428.163279.png 1311870428.175232.png
1311870428.1989 -0.1524 -0.3529 1.5293 -0.4905 0.6620 -0.4515 0.3425 1311870428.199270.png 1311870428.213842.png
1311870428.2423 -0.1523 -0.3522 1.5294 -0.4903 0.6622 -0.4508 0.3433 1311870428.231191.png 1311870428.242915.png
1311870428.2756 -0.1524 -0.3521 1.5294 -0.4907 0.6620 -0.4507 0.3432 1311870428.263420.png 1311870428.275041.png
1311870428.3122 -0.1523 -0.3522 1.5294 -0.4903 0.6622 -0.4508 0.3433 1311870428.299170.png 1311870428.312443.png
1311870428.3322 -0.1524 -0.3522 1.5295 -0.4901 0.6623 -0.4509 0.3434 1311870428.331174.png 1311870428.343959.png
1311870428.3623 -0.1524 -0.3521 1.5295 -0.4903 0.6618 -0.4513 0.3434 1311870428.363160.png 1311870428.376538.png
1311870428.3989 -0.1524 -0.3520 1.5294 -0.4912 0.6611 -0.4521 0.3426 1311870428.399340.png 1311870428.414082.png
1311870428.4324 -0.1524 -0.3519 1.5293 -0.4911 0.6610 -0.4522 0.3426 1311870428.431153.png 1311870428.444053.png
