# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311872149.0520 0.0632 -0.5474 1.2052 -0.7064 -0.3841 0.3132 0.5054 1311872149.052080.png 1311872149.058067.png
1311872149.0884 0.0638 -0.5446 1.2053 -0.7060 -0.3854 0.3133 0.5049 1311872149.088024.png 1311872149.088069.png
1311872149.1287 0.0647 -0.5412 1.2051 -0.7072 -0.3876 0.3123 0.5021 1311872149.120031.png 1311872149.127417.png
1311872149.1518 0.0651 -0.5399 1.2052 -0.7083 -0.3876 0.3128 0.5002 1311872149.151941.png 1311872149.155715.png
1311872149.1917 0.0658 -0.5361 1.2059 -0.7067 -0.3882 0.3152 0.5006 1311872149.191254.png 1311872149.191258.png
1311872149.2184 0.0657 -0.5341 1.2061 -0.7066 -0.3876 0.3163 0.5005 1311872149.219944.png 1311872149.226587.png
1311872149.2517 0.0655 -0.5314 1.2063 0.7062 0.3888 -0.3175 -0.4993 1311872149.252046.png 1311872149.259545.png
1311872149.2917 0.0657 -0.5280 1.2063 0.7049 0.3916 -0.3203 -0.4972 1311872149.291140.png 1311872149.291153.png
1311872149.3284 0.0659 -0.5251 1.2064 0.7029 0.3950 -0.3229 -0.4956 1311872149.319898.png 1311872149.328977.png
1311872149.3517 0.0661 -0.5233 1.2064 0.7028 0.3973 -0.3236 -0.4935 1311872149.351881.png 1311872149.358932.png
1311872149.3916 0.0659 -0.5203 1.2060 0.7012 0.4002 -0.3267 -0.4914 1311872149.391768.png 1311872149.391781.png
1311872149.4284 0.0657 -0.5159 1.2056 0.6996 0.4019 -0.3288 -0.4909 1311872149.419986.png 1311872149.427557.png
1311872149.4517 0.0659 -0.5135 1.2052 0.6988 0.4040 -0.3300 -0.4894 1311872149.452051.png 1311872149.460195.png
1311872149.4917 0.0663 -0.5089 1.2040 0.6971 0.4087 -0.3330 -0.4859 1311872149.492082.png 1311872149.492096.png
1311872149.5251 0.0665 -0.5048 1.2026 0.6965 0.4126 -0.3360 -0.4813 1311872149.519903.png 1311872149.525043.png
1311872149.5517 0.0667 -0.5013 1.2016 0.6960 0.4159 -0.3390 -0.4771 1311872149.552012.png 1311872149.559673.png
1311872149.5884 0.0673 -0.4957 1.1999 0.6960 0.4197 -0.3414 -0.4721 1311872149.588000.png 1311872149.595881.png
1311872149.6317 0.0679 -0.4890 1.1984 0.6982 0.4242 -0.3415 -0.4647 1311872149.620023.png 1311872149.631454.png
1311872149.6584 0.0688 -0.4850 1.1976 0.6947 0.4267 -0.3448 -0.4652 1311872149.652035.png 1311872149.658266.png
1311872149.6884 0.0699 -0.4806 1.1972 0.6925 0.4301 -0.3480 -0.4630 1311872149.687981.png 1311872149.705638.png
1311872149.7051 0.0702 -0.4785 1.1966 0.6909 0.4328 -0.3498 -0.4615 1311872149.719880.png 1311872149.705638.png
1311872149.7517 0.0723 -0.4707 1.1953 0.6887 0.4404 -0.3493 -0.4580 1311872149.752006.png 1311872149.759335.png
1311872149.7884 0.0733 -0.4652 1.1942 0.6860 0.4453 -0.3524 -0.4549 1311872149.788098.png 1311872149.798762.png
1311872149.8317 0.0740 -0.4572 1.1932 0.6824 0.4501 -0.3535 -0.4547 1311872149.820036.png 1311872149.830431.png
1311872149.8584 0.0748 -0.4522 1.1929 0.6820 0.4540 -0.3546 -0.4507 1311872149.852291.png 1311872149.858751.png
1311872149.8883 0.0757 -0.4465 1.1932 0.6799 0.4560 -0.3574 -0.4495 1311872149.888145.png 1311872149.899924.png
1311872149.9284 0.0772 -0.4390 1.1942 0.6782 0.4596 -0.3576 -0.4482 1311872149.919924.png 1311872149.927510.png
1311872149.9518 0.0773 -0.4348 1.1956 0.6765 0.4599 -0.3592 -0.4492 1311872149.952161.png 1311872149.963110.png
1311872149.9884 0.0788 -0.4275 1.1968 0.6727 0.4639 -0.3601 -0.4501 1311872149.988031.png 1311872149.999454.png
1311872150.0251 0.0805 -0.4198 1.1987 0.6695 0.4678 -0.3617 -0.4495 1311872150.019847.png 1311872150.024182.png
1311872150.0517 0.0816 -0.4143 1.1999 0.6670 0.4695 -0.3640 -0.4497 1311872150.052023.png 1311872150.059908.png
1311872150.0884 0.0834 -0.4079 1.2015 0.6625 0.4749 -0.3665 -0.4486 1311872150.088012.png 1311872150.095459.png
1311872150.1284 0.0849 -0.4004 1.2029 0.6589 0.4797 -0.3672 -0.4483 1311872150.119958.png 1311872150.127062.png
1311872150.1517 0.0856 -0.3963 1.2034 0.6572 0.4823 -0.3678 -0.4474 1311872150.152006.png 1311872150.159312.png
1311872150.1884 0.0872 -0.3897 1.2041 0.6545 0.4862 -0.3694 -0.4459 1311872150.188064.png 1311872150.193661.png
1311872150.2284 0.0892 -0.3826 1.2050 0.6521 0.4897 -0.3703 -0.4449 1311872150.220060.png 1311872150.227501.png
1311872150.2518 0.0898 -0.3784 1.2053 0.6507 0.4902 -0.3712 -0.4456 1311872150.251832.png 1311872150.255993.png
1311872150.2883 0.0914 -0.3725 1.2055 0.6518 0.4917 -0.3714 -0.4421 1311872150.288039.png 1311872150.294072.png
1311872150.3250 0.0926 -0.3669 1.2060 0.6517 0.4928 -0.3742 -0.4387 1311872150.319973.png 1311872150.323757.png
1311872150.3517 0.0938 -0.3628 1.2065 0.6519 0.4941 -0.3748 -0.4364 1311872150.351996.png 1311872150.359528.png
1311872150.3884 0.0945 -0.3570 1.2072 0.6517 0.4947 -0.3771 -0.4339 1311872150.387987.png 1311872150.400821.png
1311872150.4254 0.0955 -0.3512 1.2084 0.6523 0.4931 -0.3782 -0.4340 1311872150.420027.png 1311872150.425868.png
1311872150.4517 0.0962 -0.3468 1.2094 0.6521 0.4901 -0.3802 -0.4360 1311872150.451841.png 1311872150.462626.png
1311872150.4949 0.0974 -0.3391 1.2111 0.6516 0.4870 -0.3829 -0.4378 1311872150.487828.png 1311872150.495145.png
1311872150.5283 0.0979 -0.3341 1.2122 0.6503 0.4854 -0.3873 -0.4376 1311872150.520029.png 1311872150.527275.png
1311872150.5517 0.0983 -0.3305 1.2127 0.6481 0.4860 -0.3899 -0.4378 1311872150.552085.png 1311872150.563740.png
1311872150.5885 0.0993 -0.3251 1.2131 0.6454 0.4890 -0.3926 -0.4361 1311872150.588061.png 1311872150.600926.png
1311872150.6283 0.0995 -0.3192 1.2135 0.6415 0.4911 -0.3975 -0.4351 1311872150.619976.png 1311872150.627362.png
1311872150.6517 0.0997 -0.3159 1.2135 0.6395 0.4925 -0.3994 -0.4346 1311872150.651992.png 1311872150.663133.png
1311872150.6883 0.0998 -0.3103 1.2134 0.6375 0.4941 -0.4020 -0.4334 1311872150.688029.png 1311872150.695323.png
1311872150.7284 0.0999 -0.3046 1.2136 0.6332 0.4955 -0.4071 -0.4334 1311872150.719998.png 1311872150.727641.png
1311872150.7517 0.0993 -0.3008 1.2136 0.6297 0.4955 -0.4098 -0.4359 1311872150.752109.png 1311872150.759645.png
1311872150.7883 0.0994 -0.2950 1.2140 0.6267 0.4990 -0.4116 -0.4345 1311872150.787919.png 1311872150.800795.png
1311872150.8317 0.0994 -0.2885 1.2144 0.6206 0.5017 -0.4173 -0.4347 1311872150.819975.png 1311872150.833085.png
1311872150.8650 0.0991 -0.2825 1.2145 0.6167 0.5048 -0.4185 -0.4356 1311872150.851948.png 1311872150.864988.png
1311872150.8884 0.0991 -0.2794 1.2150 0.6154 0.5058 -0.4189 -0.4359 1311872150.888178.png 1311872150.897023.png
1311872150.9283 0.0991 -0.2732 1.2156 0.6107 0.5100 -0.4219 -0.4348 1311872150.919975.png 1311872150.929387.png
1311872150.9517 0.0986 -0.2694 1.2160 0.6081 0.5117 -0.4241 -0.4342 1311872150.952007.png 1311872150.963024.png
1311872150.9883 0.0983 -0.2638 1.2166 0.6060 0.5143 -0.4268 -0.4313 1311872150.987967.png 1311872150.996173.png
1311872151.0250 0.0988 -0.2596 1.2169 0.6024 0.5178 -0.4303 -0.4287 1311872151.019852.png 1311872151.024426.png
1311872151.0517 0.0988 -0.2562 1.2171 0.6007 0.5190 -0.4317 -0.4284 1311872151.052003.png 1311872151.064059.png
1311872151.0950 0.0991 -0.2509 1.2171 0.5991 0.5215 -0.4321 -0.4271 1311872151.087986.png 1311872151.094716.png
1311872151.1283 0.0994 -0.2474 1.2171 0.5971 0.5234 -0.4342 -0.4253 1311872151.120013.png 1311872151.127097.png
1311872151.1650 0.0998 -0.2438 1.2166 0.5960 0.5250 -0.4369 -0.4223 1311872151.152004.png 1311872151.164934.png
1311872151.1950 0.1004 -0.2413 1.2158 0.5948 0.5275 -0.4377 -0.4200 1311872151.187861.png 1311872151.195165.png
1311872151.2283 0.1005 -0.2384 1.2154 0.5928 0.5294 -0.4391 -0.4188 1311872151.219984.png 1311872151.227382.png
1311872151.2517 0.1006 -0.2366 1.2150 0.5921 0.5308 -0.4392 -0.4182 1311872151.252010.png 1311872151.265427.png
1311872151.2883 0.1009 -0.2331 1.2141 0.5914 0.5319 -0.4393 -0.4176 1311872151.287818.png 1311872151.300668.png
1311872151.3316 0.1011 -0.2309 1.2139 0.5897 0.5324 -0.4421 -0.4164 1311872151.320069.png 1311872151.330403.png
1311872151.3519 0.1012 -0.2295 1.2138 0.5885 0.5334 -0.4427 -0.4161 1311872151.352133.png 1311872151.367295.png
1311872151.3950 0.1015 -0.2265 1.2135 0.5869 0.5355 -0.4429 -0.4156 1311872151.387946.png 1311872151.394995.png
1311872151.4250 0.1023 -0.2247 1.2131 0.5881 0.5366 -0.4420 -0.4133 1311872151.419940.png 1311872151.423955.png
1311872151.4517 0.1024 -0.2239 1.2130 0.5877 0.5365 -0.4437 -0.4121 1311872151.452049.png 1311872151.465662.png
1311872151.4950 0.1029 -0.2210 1.2130 0.5858 0.5383 -0.4445 -0.4117 1311872151.487989.png 1311872151.495240.png
1311872151.5283 0.1030 -0.2188 1.2129 0.5845 0.5392 -0.4451 -0.4117 1311872151.519938.png 1311872151.527556.png
1311872151.5517 0.1032 -0.2170 1.2128 0.5837 0.5400 -0.4451 -0.4118 1311872151.551968.png 1311872151.560438.png
1311872151.5883 0.1037 -0.2141 1.2127 0.5827 0.5410 -0.4456 -0.4114 1311872151.587976.png 1311872151.596199.png
1311872151.6249 0.1038 -0.2109 1.2128 0.5816 0.5433 -0.4446 -0.4110 1311872151.619894.png 1311872151.624237.png
1311872151.6517 0.1040 -0.2089 1.2129 0.5809 0.5435 -0.4456 -0.4107 1311872151.652077.png 1311872151.660445.png
