# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311871722.1743 -1.2942 -0.2697 1.1142 0.5986 -0.5725 0.3677 -0.4228 1311871722.176046.png 1311871722.175265.png
1311871722.2075 -1.2937 -0.2698 1.1144 0.5981 -0.5712 0.3686 -0.4245 1311871722.212069.png 1311871722.206851.png
1311871722.2441 -1.2938 -0.2697 1.1144 0.5978 -0.5715 0.3685 -0.4246 1311871722.244098.png 1311871722.236017.png
1311871722.2742 -1.2939 -0.2696 1.1144 0.5978 -0.5715 0.3686 -0.4245 1311871722.276011.png 1311871722.275226.png
1311871722.3075 -1.2939 -0.2695 1.1145 0.5969 -0.5702 0.3702 -0.4261 1311871722.312254.png 1311871722.306812.png
1311871722.3442 -1.2940 -0.2696 1.1147 0.5963 -0.5701 0.3715 -0.4261 1311871722.344249.png 1311871722.339497.png
1311871722.3742 -1.2942 -0.2697 1.1149 0.5962 -0.5715 0.3713 -0.4243 1311871722.376093.png 1311871722.375458.png
1311871722.4041 -1.2941 -0.2696 1.1151 0.5956 -0.5717 0.3717 -0.4246 1311871722.412057.png 1311871722.403527.png
1311871722.4441 -1.2933 -0.2697 1.1153 0.5936 -0.5724 0.3729 -0.4254 1311871722.444238.png 1311871722.438997.png
1311871722.4742 -1.2933 -0.2697 1.1153 0.5930 -0.5732 0.3732 -0.4249 1311871722.475983.png 1311871722.475042.png
1311871722.5044 -1.2933 -0.2697 1.1153 0.5925 -0.5737 0.3740 -0.4241 1311871722.512073.png 1311871722.503806.png
1311871722.5441 -1.2933 -0.2696 1.1152 0.5917 -0.5737 0.3757 -0.4238 1311871722.544305.png 1311871722.538051.png
1311871722.5742 -1.2933 -0.2698 1.1154 0.5921 -0.5729 0.3777 -0.4226 1311871722.576036.png 1311871722.575166.png
1311871722.6075 -1.2932 -0.2700 1.1153 0.5921 -0.5723 0.3794 -0.4219 1311871722.613411.png 1311871722.606835.png
1311871722.6442 -1.2933 -0.2704 1.1152 0.5922 -0.5724 0.3805 -0.4206 1311871722.644212.png 1311871722.639328.png
1311871722.6742 -1.2932 -0.2710 1.1149 0.5917 -0.5731 0.3812 -0.4197 1311871722.676088.png 1311871722.675442.png
1311871722.7075 -1.2932 -0.2717 1.1145 0.5914 -0.5743 0.3808 -0.4188 1311871722.712133.png 1311871722.706762.png
1311871722.7441 -1.2931 -0.2724 1.1140 0.5911 -0.5757 0.3800 -0.4181 1311871722.744185.png 1311871722.739251.png
1311871722.7742 -1.2935 -0.2730 1.1135 0.5907 -0.5768 0.3798 -0.4173 1311871722.776019.png 1311871722.775152.png
1311871722.8075 -1.2933 -0.2737 1.1131 0.5915 -0.5768 0.3798 -0.4162 1311871722.812096.png 1311871722.806768.png
1311871722.8442 -1.2938 -0.2742 1.1128 0.5912 -0.5775 0.3810 -0.4145 1311871722.844362.png 1311871722.836615.png
1311871722.8741 -1.2937 -0.2746 1.1128 0.5914 -0.5763 0.3821 -0.4149 1311871722.876081.png 1311871722.875126.png
1311871722.9074 -1.2943 -0.2749 1.1124 0.5915 -0.5774 0.3809 -0.4143 1311871722.912401.png 1311871722.907139.png
1311871722.9441 -1.2943 -0.2754 1.1121 0.5919 -0.5775 0.3794 -0.4150 1311871722.944096.png 1311871722.938217.png
1311871722.9741 -1.2946 -0.2756 1.1119 0.5920 -0.5780 0.3788 -0.4147 1311871722.976060.png 1311871722.975083.png
1311871723.0074 -1.2949 -0.2758 1.1117 0.5918 -0.5783 0.3789 -0.4145 1311871723.012102.png 1311871723.006400.png
1311871723.0441 -1.2952 -0.2757 1.1112 0.5914 -0.5779 0.3796 -0.4150 1311871723.044189.png 1311871723.038913.png
1311871723.0742 -1.2956 -0.2756 1.1110 0.5920 -0.5791 0.3781 -0.4137 1311871723.076030.png 1311871723.074659.png
1311871723.1041 -1.2959 -0.2754 1.1108 0.5922 -0.5793 0.3778 -0.4135 1311871723.112085.png 1311871723.103723.png
1311871723.1441 -1.2961 -0.2752 1.1106 0.5928 -0.5787 0.3776 -0.4137 1311871723.144125.png 1311871723.139181.png
1311871723.1741 -1.2962 -0.2750 1.1106 0.5930 -0.5785 0.3774 -0.4138 1311871723.176004.png 1311871723.175270.png
1311871723.2075 -1.2964 -0.2748 1.1107 0.5926 -0.5789 0.3772 -0.4141 1311871723.212085.png 1311871723.207135.png
1311871723.2441 -1.2965 -0.2746 1.1108 0.5925 -0.5793 0.3765 -0.4142 1311871723.244180.png 1311871723.239208.png
1311871723.2742 -1.2966 -0.2745 1.1109 0.5925 -0.5795 0.3760 -0.4143 1311871723.275993.png 1311871723.275390.png
1311871723.3074 -1.2968 -0.2744 1.1111 0.5924 -0.5799 0.3760 -0.4140 1311871723.312119.png 1311871723.306894.png
1311871723.3441 -1.2968 -0.2744 1.1111 0.5924 -0.5799 0.3760 -0.4140 1311871723.343998.png 1311871723.343293.png
1311871723.3741 -1.2969 -0.2744 1.1112 0.5924 -0.5799 0.3762 -0.4137 1311871723.376108.png 1311871723.375113.png
1311871723.4074 -1.2968 -0.2744 1.1112 0.5922 -0.5800 0.3767 -0.4135 1311871723.412060.png 1311871723.406986.png
