# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311871821.1739 0.3178 -0.1607 0.9204 0.5341 0.5176 -0.4651 -0.4801 1311871821.190245.png 1311871821.173627.png
1311871821.2105 0.3176 -0.1610 0.9204 0.5339 0.5180 -0.4651 -0.4799 1311871821.222284.png 1311871821.212060.png
1311871821.2539 0.3173 -0.1613 0.9203 0.5335 0.5190 -0.4653 -0.4792 1311871821.254070.png 1311871821.242882.png
1311871821.2905 0.3170 -0.1616 0.9201 0.5334 0.5194 -0.4654 -0.4786 1311871821.290236.png 1311871821.276296.png
1311871821.3139 0.3168 -0.1617 0.9201 0.5333 0.5196 -0.4654 -0.4787 1311871821.322070.png 1311871821.312656.png
1311871821.3446 0.3165 -0.1619 0.9200 0.5331 0.5195 -0.4656 -0.4787 1311871821.354482.png 1311871821.344340.png
1311871821.3739 0.3162 -0.1620 0.9201 0.5332 0.5193 -0.4655 -0.4789 1311871821.390244.png 1311871821.374026.png
1311871821.4105 0.3158 -0.1621 0.9202 0.5335 0.5187 -0.4655 -0.4793 1311871821.422182.png 1311871821.410600.png
1311871821.4538 0.3154 -0.1624 0.9203 0.5341 0.5180 -0.4658 -0.4791 1311871821.454250.png 1311871821.441646.png
1311871821.4905 0.3151 -0.1626 0.9205 0.5342 0.5177 -0.4654 -0.4796 1311871821.490249.png 1311871821.476402.png
1311871821.5139 0.3150 -0.1629 0.9205 0.5347 0.5177 -0.4653 -0.4791 1311871821.522266.png 1311871821.512886.png
1311871821.5438 0.3148 -0.1640 0.9205 0.5352 0.5175 -0.4654 -0.4787 1311871821.554205.png 1311871821.543663.png
1311871821.5905 0.3145 -0.1640 0.9208 0.5348 0.5179 -0.4645 -0.4796 1311871821.590262.png 1311871821.576523.png
1311871821.6238 0.3144 -0.1648 0.9208 0.5349 0.5188 -0.4637 -0.4793 1311871821.622311.png 1311871821.612334.png
