# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311876800.3983 -1.8199 -0.7560 0.5686 0.1559 0.7218 -0.6604 -0.1360 1311876800.398168.png 1311876800.398210.png
1311876800.4316 -1.8199 -0.7562 0.5685 0.1554 0.7213 -0.6611 -0.1358 1311876800.430058.png 1311876800.430172.png
1311876800.4683 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6602 -0.1356 1311876800.467526.png 1311876800.467636.png
1311876800.4983 -1.8197 -0.7559 0.5687 0.1562 0.7224 -0.6598 -0.1359 1311876800.499177.png 1311876800.499186.png
1311876800.5516 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6603 -0.1356 1311876800.550588.png 1311876800.520581.png
1311876800.5848 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1359 1311876800.584578.png 1311876800.584599.png
1311876800.6283 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6603 -0.1356 1311876800.626767.png 1311876800.626782.png
1311876800.6682 -1.8198 -0.7559 0.5686 0.1562 0.7225 -0.6597 -0.1358 1311876800.669072.png 1311876800.669086.png
1311876800.6983 -1.8197 -0.7559 0.5686 0.1562 0.7225 -0.6596 -0.1359 1311876800.699136.png 1311876800.699144.png
1311876800.7315 -1.8198 -0.7561 0.5687 0.1558 0.7221 -0.6603 -0.1356 1311876800.730907.png 1311876800.730916.png
1311876800.7850 -1.8198 -0.7561 0.5687 0.1558 0.7222 -0.6601 -0.1358 1311876800.767879.png 1311876800.784931.png
1311876800.8183 -1.8198 -0.7561 0.5688 0.1556 0.7222 -0.6601 -0.1359 1311876800.819443.png 1311876800.819617.png
1311876800.8616 -1.8195 -0.7562 0.5684 0.1566 0.7220 -0.6603 -0.1349 1311876800.862919.png 1311876800.862936.png
1311876800.8949 -1.8194 -0.7562 0.5684 0.1566 0.7220 -0.6603 -0.1349 1311876800.894672.png 1311876800.894684.png
1311876800.9316 -1.8195 -0.7566 0.5685 0.1561 0.7214 -0.6612 -0.1344 1311876800.930094.png 1311876800.930123.png
1311876800.9649 -1.8195 -0.7562 0.5684 0.1565 0.7220 -0.6603 -0.1349 1311876800.965940.png 1311876800.966034.png
1311876801.0015 -1.8195 -0.7562 0.5684 0.1565 0.7220 -0.6603 -0.1348 1311876801.000625.png 1311876801.000640.png
1311876801.0517 -1.8193 -0.7565 0.5682 0.1568 0.7223 -0.6600 -0.1344 1311876801.030613.png 1311876801.050153.png
1311876801.0948 -1.8193 -0.7563 0.5681 0.1567 0.7217 -0.6606 -0.1350 1311876801.094705.png 1311876801.094722.png
1311876801.1316 -1.8194 -0.7566 0.5682 0.1561 0.7211 -0.6614 -0.1346 1311876801.131759.png 1311876801.131821.png
1311876801.1816 -1.8193 -0.7563 0.5681 0.1566 0.7218 -0.6605 -0.1350 1311876801.167161.png 1311876801.182417.png
1311876801.2282 -1.8194 -0.7566 0.5681 0.1562 0.7211 -0.6615 -0.1346 1311876801.226755.png 1311876801.226769.png
1311876801.2716 -1.8193 -0.7566 0.5681 0.1562 0.7211 -0.6615 -0.1346 1311876801.269894.png 1311876801.270078.png
1311876801.2982 -1.8193 -0.7563 0.5681 0.1567 0.7217 -0.6606 -0.1350 1311876801.299344.png 1311876801.299426.png
1311876801.3514 -1.8194 -0.7566 0.5681 0.1562 0.7211 -0.6614 -0.1346 1311876801.351680.png 1311876801.387408.png
1311876801.3882 -1.8193 -0.7566 0.5681 0.1562 0.7211 -0.6614 -0.1346 1311876801.387394.png 1311876801.387408.png
1311876801.4316 -1.8194 -0.7566 0.5681 0.1562 0.7211 -0.6614 -0.1346 1311876801.432714.png 1311876801.432830.png
1311876801.4883 -1.8193 -0.7566 0.5681 0.1562 0.7212 -0.6613 -0.1345 1311876801.470435.png 1311876801.489501.png
1311876801.4950 -1.8193 -0.7563 0.5681 0.1567 0.7217 -0.6606 -0.1350 1311876801.495114.png 1311876801.489501.png
1311876801.5516 -1.8193 -0.7566 0.5681 0.1561 0.7211 -0.6614 -0.1345 1311876801.551613.png 1311876801.587581.png
1311876801.5882 -1.8193 -0.7567 0.5681 0.1561 0.7212 -0.6614 -0.1345 1311876801.587561.png 1311876801.587581.png
1311876801.6482 -1.8194 -0.7566 0.5681 0.1561 0.7212 -0.6614 -0.1345 1311876801.630278.png 1311876801.648195.png
1311876801.6883 -1.8193 -0.7566 0.5681 0.1561 0.7212 -0.6614 -0.1345 1311876801.688018.png 1311876801.688036.png
1311876801.7648 -1.8193 -0.7567 0.5681 0.1559 0.7212 -0.6615 -0.1343 1311876801.763774.png 1311876801.765189.png
1311876801.7984 -1.8190 -0.7564 0.5682 0.1560 0.7216 -0.6610 -0.1342 1311876801.799465.png 1311876801.799650.png
1311876801.8316 -1.8189 -0.7566 0.5682 0.1548 0.7217 -0.6614 -0.1334 1311876801.830965.png 1311876801.831093.png
1311876801.8683 -1.8188 -0.7568 0.5683 0.1544 0.7227 -0.6606 -0.1322 1311876801.867700.png 1311876801.884183.png
1311876801.9282 -1.8189 -0.7571 0.5685 0.1523 0.7219 -0.6622 -0.1306 1311876801.919866.png 1311876801.926821.png
1311876801.9883 -1.8191 -0.7590 0.5688 0.1493 0.7226 -0.6626 -0.1287 1311876801.987874.png 1311876801.987889.png
1311876802.0883 -1.8200 -0.7637 0.5685 0.1435 0.7251 -0.6621 -0.1234 1311876802.063381.png 1311876802.087898.png
1311876802.1514 -1.8215 -0.7670 0.5688 0.1379 0.7253 -0.6637 -0.1197 1311876802.151775.png 1311876802.153177.png
1311876802.2016 -1.8218 -0.7692 0.5690 0.1347 0.7263 -0.6639 -0.1165 1311876802.201191.png 1311876802.217194.png
1311876802.2515 -1.8219 -0.7719 0.5695 0.1304 0.7267 -0.6649 -0.1137 1311876802.251654.png 1311876802.251776.png
1311876802.3182 -1.8226 -0.7779 0.5700 0.1236 0.7267 -0.6670 -0.1083 1311876802.319528.png 1311876802.319544.png
1311876802.3549 -1.8236 -0.7821 0.5703 0.1201 0.7263 -0.6684 -0.1058 1311876802.384395.png 1311876802.355248.png
1311876802.4349 -1.8269 -0.7933 0.5699 0.1128 0.7305 -0.6665 -0.0974 1311876802.433363.png 1311876802.433381.png
1311876802.4949 -1.8292 -0.8015 0.5701 0.1074 0.7312 -0.6673 -0.0922 1311876802.532193.png 1311876802.494675.png
1311876802.5882 -1.8313 -0.8136 0.5704 0.0991 0.7321 -0.6685 -0.0857 1311876802.587849.png 1311876802.587858.png
