# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311878194.2734 -2.3173 -2.1669 0.5874 -0.7161 0.2093 -0.1837 0.6400 1311878194.274451.png 1311878194.329554.png
1311878194.3068 -2.3174 -2.1669 0.5873 -0.7163 0.2095 -0.1835 0.6398 1311878194.306158.png 1311878194.329554.png
1311878194.3308 -2.3174 -2.1669 0.5873 -0.7164 0.2093 -0.1835 0.6398 1311878194.338155.png 1311878194.329554.png
1311878194.3735 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1835 0.6398 1311878194.374270.png 1311878194.359236.png
1311878194.4067 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1835 0.6400 1311878194.406574.png 1311878194.396290.png
1311878194.4401 -2.3174 -2.1669 0.5873 -0.7163 0.2094 -0.1835 0.6398 1311878194.439904.png 1311878194.427630.png
1311878194.4602 -2.3173 -2.1669 0.5874 -0.7162 0.2093 -0.1835 0.6399 1311878194.474341.png 1311878194.459673.png
1311878194.5068 -2.3174 -2.1669 0.5874 -0.7163 0.2094 -0.1836 0.6399 1311878194.506276.png 1311878194.498786.png
1311878194.5269 -2.3173 -2.1669 0.5874 -0.7161 0.2094 -0.1837 0.6400 1311878194.538257.png 1311878194.527933.png
1311878194.5735 -2.3174 -2.1669 0.5874 -0.7162 0.2094 -0.1836 0.6400 1311878194.574203.png 1311878194.558884.png
1311878194.6068 -2.3173 -2.1669 0.5874 -0.7162 0.2095 -0.1837 0.6399 1311878194.606201.png 1311878194.597895.png
1311878194.6269 -2.3173 -2.1669 0.5874 -0.7161 0.2096 -0.1837 0.6399 1311878194.638184.png 1311878194.626949.png
1311878194.6603 -2.3172 -2.1669 0.5873 -0.7161 0.2096 -0.1838 0.6399 1311878194.674335.png 1311878194.660629.png
1311878194.7067 -2.3171 -2.1669 0.5874 -0.7159 0.2101 -0.1843 0.6399 1311878194.706671.png 1311878194.699673.png
1311878194.7271 -2.3172 -2.1670 0.5874 -0.7159 0.2099 -0.1842 0.6399 1311878194.738262.png 1311878194.727659.png
1311878194.7735 -2.3171 -2.1671 0.5874 -0.7155 0.2104 -0.1847 0.6401 1311878194.774175.png 1311878194.759065.png
1311878194.8071 -2.3169 -2.1673 0.5874 -0.7156 0.2112 -0.1852 0.6396 1311878194.806388.png 1311878194.795788.png
1311878194.8270 -2.3168 -2.1674 0.5874 -0.7153 0.2118 -0.1857 0.6395 1311878194.838267.png 1311878194.827761.png
1311878194.8600 -2.3167 -2.1678 0.5874 -0.7155 0.2131 -0.1868 0.6385 1311878194.874122.png 1311878194.860156.png
1311878194.9069 -2.3164 -2.1682 0.5874 -0.7149 0.2154 -0.1888 0.6379 1311878194.906162.png 1311878194.894979.png
1311878194.9301 -2.3162 -2.1683 0.5873 -0.7148 0.2164 -0.1900 0.6373 1311878194.938235.png 1311878194.930022.png
1311878194.9735 -2.3159 -2.1686 0.5871 -0.7150 0.2195 -0.1924 0.6352 1311878194.974214.png 1311878194.959099.png
1311878194.9968 -2.3157 -2.1689 0.5872 -0.7139 0.2212 -0.1939 0.6355 1311878195.006349.png 1311878194.996534.png
1311878195.0269 -2.3157 -2.1691 0.5874 -0.7125 0.2233 -0.1959 0.6357 1311878195.038170.png 1311878195.027534.png
1311878195.0734 -2.3155 -2.1693 0.5873 -0.7122 0.2261 -0.1992 0.6340 1311878195.074121.png 1311878195.061778.png
1311878195.1069 -2.3154 -2.1699 0.5874 -0.7117 0.2284 -0.2007 0.6333 1311878195.106255.png 1311878195.094824.png
1311878195.1267 -2.3148 -2.1701 0.5873 -0.7109 0.2302 -0.2030 0.6328 1311878195.138441.png 1311878195.126832.png
1311878195.1736 -2.3138 -2.1706 0.5873 -0.7094 0.2345 -0.2064 0.6318 1311878195.174269.png 1311878195.159231.png
1311878195.1969 -2.3134 -2.1707 0.5875 -0.7080 0.2367 -0.2084 0.6319 1311878195.206448.png 1311878195.196629.png
1311878195.2270 -2.3132 -2.1711 0.5875 -0.7070 0.2394 -0.2114 0.6310 1311878195.238271.png 1311878195.227154.png
1311878195.2602 -2.3129 -2.1717 0.5871 -0.7078 0.2430 -0.2143 0.6277 1311878195.274164.png 1311878195.259620.png
1311878195.3068 -2.3127 -2.1727 0.5874 -0.7043 0.2474 -0.2192 0.6283 1311878195.306470.png 1311878195.294553.png
1311878195.3267 -2.3126 -2.1730 0.5875 -0.7034 0.2491 -0.2210 0.6280 1311878195.338213.png 1311878195.326844.png
1311878195.3735 -2.3122 -2.1735 0.5875 -0.7018 0.2536 -0.2255 0.6264 1311878195.374269.png 1311878195.359161.png
1311878195.4068 -2.3117 -2.1740 0.5876 -0.7000 0.2569 -0.2287 0.6259 1311878195.406029.png 1311878195.394867.png
1311878195.4368 -2.3114 -2.1744 0.5876 -0.6988 0.2595 -0.2313 0.6252 1311878195.438050.png 1311878195.428052.png
1311878195.4599 -2.3110 -2.1747 0.5875 -0.6980 0.2617 -0.2334 0.6244 1311878195.474232.png 1311878195.459888.png
1311878195.4968 -2.3106 -2.1748 0.5877 -0.6960 0.2654 -0.2364 0.6240 1311878195.506356.png 1311878195.496459.png
1311878195.5303 -2.3103 -2.1753 0.5876 -0.6949 0.2684 -0.2392 0.6228 1311878195.538378.png 1311878195.529627.png
1311878195.5735 -2.3102 -2.1762 0.5876 -0.6938 0.2725 -0.2425 0.6210 1311878195.574459.png 1311878195.567770.png
1311878195.6068 -2.3107 -2.1771 0.5875 -0.6934 0.2768 -0.2450 0.6185 1311878195.606206.png 1311878195.594919.png
1311878195.6268 -2.3103 -2.1774 0.5875 -0.6923 0.2785 -0.2471 0.6181 1311878195.638287.png 1311878195.626723.png
1311878195.6733 -2.3099 -2.1779 0.5875 -0.6889 0.2835 -0.2535 0.6171 1311878195.674186.png 1311878195.664376.png
1311878195.7067 -2.3095 -2.1781 0.5877 -0.6872 0.2861 -0.2566 0.6166 1311878195.706186.png 1311878195.694746.png
1311878195.7265 -2.3095 -2.1783 0.5877 -0.6867 0.2881 -0.2581 0.6155 1311878195.738201.png 1311878195.727431.png
1311878195.7634 -2.3089 -2.1787 0.5877 -0.6856 0.2913 -0.2609 0.6141 1311878195.774488.png 1311878195.763173.png
1311878195.8068 -2.3080 -2.1793 0.5878 -0.6831 0.2958 -0.2652 0.6128 1311878195.806204.png 1311878195.796096.png
1311878195.8368 -2.3075 -2.1798 0.5876 -0.6823 0.2991 -0.2677 0.6111 1311878195.838010.png 1311878195.828782.png
1311878195.8635 -2.3070 -2.1801 0.5876 -0.6811 0.3017 -0.2700 0.6101 1311878195.874257.png 1311878195.863694.png
1311878195.9067 -2.3064 -2.1806 0.5878 -0.6790 0.3056 -0.2744 0.6085 1311878195.906202.png 1311878195.894665.png
1311878195.9267 -2.3062 -2.1808 0.5878 -0.6779 0.3076 -0.2765 0.6077 1311878195.938120.png 1311878195.926412.png
1311878195.9736 -2.3056 -2.1810 0.5878 -0.6756 0.3122 -0.2808 0.6060 1311878195.974264.png 1311878195.962454.png
1311878196.0068 -2.3050 -2.1813 0.5877 -0.6744 0.3158 -0.2839 0.6041 1311878196.006352.png 1311878195.994649.png
1311878196.0268 -2.3045 -2.1813 0.5877 -0.6734 0.3175 -0.2858 0.6034 1311878196.038129.png 1311878196.026398.png
1311878196.0733 -2.3039 -2.1817 0.5876 -0.6715 0.3218 -0.2895 0.6014 1311878196.074360.png 1311878196.064390.png
1311878196.1067 -2.3035 -2.1824 0.5878 -0.6708 0.3253 -0.2914 0.5994 1311878196.106326.png 1311878196.099597.png
1311878196.1270 -2.3033 -2.1827 0.5877 -0.6699 0.3272 -0.2930 0.5985 1311878196.138421.png 1311878196.127820.png
1311878196.1633 -2.3028 -2.1833 0.5877 -0.6679 0.3308 -0.2965 0.5972 1311878196.174374.png 1311878196.162687.png
1311878196.2069 -2.3022 -2.1837 0.5879 -0.6644 0.3353 -0.3011 0.5963 1311878196.206127.png 1311878196.194474.png
1311878196.2268 -2.3018 -2.1838 0.5880 -0.6631 0.3364 -0.3030 0.5961 1311878196.238260.png 1311878196.226502.png
1311878196.2733 -2.3020 -2.1842 0.5878 -0.6619 0.3415 -0.3063 0.5928 1311878196.274193.png 1311878196.264456.png
1311878196.3067 -2.3014 -2.1842 0.5877 -0.6596 0.3444 -0.3098 0.5918 1311878196.306228.png 1311878196.295266.png
1311878196.3266 -2.3011 -2.1842 0.5878 -0.6584 0.3462 -0.3119 0.5911 1311878196.338204.png 1311878196.327095.png
1311878196.3637 -2.2999 -2.1845 0.5881 -0.6559 0.3484 -0.3158 0.5904 1311878196.375281.png 1311878196.365191.png
1311878196.4069 -2.2996 -2.1852 0.5884 -0.6530 0.3523 -0.3199 0.5892 1311878196.406342.png 1311878196.394977.png
1311878196.4269 -2.2993 -2.1852 0.5886 -0.6518 0.3543 -0.3219 0.5883 1311878196.438533.png 1311878196.426386.png
1311878196.4635 -2.2980 -2.1853 0.5888 -0.6488 0.3576 -0.3255 0.5876 1311878196.474320.png 1311878196.463731.png
1311878196.5070 -2.2956 -2.1849 0.5887 -0.6467 0.3615 -0.3297 0.5851 1311878196.506414.png 1311878196.495481.png
1311878196.5269 -2.2942 -2.1845 0.5887 -0.6456 0.3634 -0.3310 0.5845 1311878196.538251.png 1311878196.526093.png
