# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1311867170.4622 0.1163 -1.1498 1.4015 -0.5721 0.6521 -0.3565 0.3469 1311867170.462290.png 1311867170.450076.png
1311867170.4822 0.1157 -1.1488 1.4027 -0.5728 0.6513 -0.3571 0.3468 1311867170.494139.png 1311867170.483500.png
1311867170.5256 0.1145 -1.1461 1.4053 -0.5744 0.6507 -0.3540 0.3483 1311867170.526429.png 1311867170.516818.png
1311867170.5623 0.1145 -1.1437 1.4067 -0.5751 0.6501 -0.3518 0.3505 1311867170.562349.png 1311867170.551384.png
1311867170.5823 0.1137 -1.1426 1.4075 -0.5764 0.6502 -0.3492 0.3509 1311867170.594217.png 1311867170.580990.png
1311867170.6256 0.1123 -1.1398 1.4094 -0.5791 0.6492 -0.3471 0.3502 1311867170.626087.png 1311867170.617942.png
1311867170.6622 0.1116 -1.1376 1.4112 -0.5803 0.6480 -0.3470 0.3506 1311867170.662140.png 1311867170.649674.png
1311867170.6956 0.1103 -1.1366 1.4122 -0.5819 0.6476 -0.3478 0.3479 1311867170.694205.png 1311867170.680532.png
1311867170.7256 0.1098 -1.1354 1.4134 -0.5826 0.6474 -0.3478 0.3472 1311867170.726388.png 1311867170.717358.png
1311867170.7622 0.1086 -1.1339 1.4152 -0.5825 0.6468 -0.3459 0.3502 1311867170.762019.png 1311867170.749451.png
1311867170.7956 0.1081 -1.1328 1.4178 -0.5813 0.6467 -0.3446 0.3537 1311867170.794192.png 1311867170.780364.png
1311867170.8256 0.1073 -1.1321 1.4206 -0.5809 0.6459 -0.3451 0.3553 1311867170.826282.png 1311867170.816535.png
1311867170.8623 0.1063 -1.1311 1.4241 -0.5796 0.6447 -0.3466 0.3581 1311867170.862221.png 1311867170.850616.png
1311867170.8823 0.1056 -1.1310 1.4261 -0.5794 0.6440 -0.3477 0.3587 1311867170.894378.png 1311867170.882672.png
