# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341841600.0773 -3.1536 2.4728 1.8177 -0.2377 0.7808 -0.5550 0.1605 1341841600.050803.png 1341841600.051402.png
1341841600.0873 -3.1515 2.4734 1.8173 -0.2383 0.7799 -0.5556 0.1619 1341841600.086610.png 1341841600.086625.png
1341841600.1174 -3.1474 2.4788 1.8166 -0.2335 0.7805 -0.5579 0.1585 1341841600.118736.png 1341841600.118765.png
1341841600.1473 -3.1422 2.4829 1.8160 -0.2327 0.7797 -0.5584 0.1615 1341841600.150754.png 1341841600.150765.png
1341841600.1874 -3.1344 2.4890 1.8153 -0.2325 0.7786 -0.5586 0.1664 1341841600.186674.png 1341841600.186685.png
1341841600.2173 -3.1289 2.4930 1.8142 -0.2328 0.7807 -0.5562 0.1642 1341841600.218895.png 1341841600.218911.png
1341841600.2474 -3.1223 2.4955 1.8126 -0.2310 0.7800 -0.5583 0.1627 1341841600.250744.png 1341841600.250789.png
1341841600.2901 -3.1144 2.4996 1.8106 -0.2301 0.7848 -0.5532 0.1589 1341841600.286782.png 1341841600.286797.png
1341841600.3173 -3.1069 2.5018 1.8091 -0.2306 0.7855 -0.5517 0.1594 1341841600.318807.png 1341841600.318857.png
1341841600.3589 -3.0969 2.5044 1.8076 -0.2334 0.7871 -0.5495 0.1552 1341841600.354808.png 1341841600.354819.png
1341841600.3873 -3.0898 2.5062 1.8063 -0.2324 0.7866 -0.5522 0.1493 1341841600.386610.png 1341841600.386626.png
1341841600.4173 -3.0815 2.5079 1.8053 -0.2307 0.7865 -0.5533 0.1485 1341841600.418798.png 1341841600.418813.png
1341841600.4574 -3.0707 2.5105 1.8041 -0.2307 0.7870 -0.5516 0.1523 1341841600.454756.png 1341841600.454769.png
1341841600.4873 -3.0616 2.5114 1.8035 -0.2277 0.7867 -0.5533 0.1523 1341841600.486702.png 1341841600.487355.png
1341841600.5176 -3.0523 2.5125 1.8030 -0.2242 0.7864 -0.5555 0.1506 1341841600.518765.png 1341841600.518776.png
1341841600.5574 -3.0404 2.5143 1.8024 -0.2231 0.7870 -0.5550 0.1509 1341841600.554911.png 1341841600.554923.png
1341841600.5874 -3.0302 2.5147 1.8023 -0.2221 0.7852 -0.5578 0.1515 1341841600.586690.png 1341841600.586701.png
1341841600.6273 -3.0176 2.5178 1.8023 -0.2263 0.7868 -0.5549 0.1480 1341841600.622981.png 1341841600.622999.png
1341841600.6583 -3.0079 2.5194 1.8020 -0.2278 0.7875 -0.5544 0.1434 1341841600.654761.png 1341841600.654770.png
1341841600.6904 -2.9972 2.5198 1.8018 -0.2238 0.7854 -0.5594 0.1419 1341841600.686702.png 1341841600.686711.png
1341841600.7276 -2.9844 2.5221 1.8009 -0.2252 0.7848 -0.5591 0.1442 1341841600.722755.png 1341841600.722828.png
1341841600.7573 -2.9737 2.5233 1.7991 -0.2267 0.7859 -0.5566 0.1453 1341841600.755698.png 1341841600.755710.png
1341841600.8273 -2.9493 2.5231 1.7949 -0.2239 0.7884 -0.5551 0.1418 1341841600.854779.png 1341841600.829981.png
1341841600.8873 -2.9284 2.5231 1.7907 -0.2189 0.7934 -0.5500 0.1415 1341841600.890953.png 1341841600.890984.png
1341841600.9272 -2.9138 2.5218 1.7878 -0.2160 0.7972 -0.5469 0.1369 1341841600.923018.png 1341841600.923041.png
1341841600.9585 -2.9032 2.5207 1.7863 -0.2147 0.7988 -0.5460 0.1332 1341841600.990770.png 1341841600.961909.png
1341841601.0273 -2.8776 2.5219 1.7862 -0.2066 0.7990 -0.5482 0.1355 1341841601.022852.png 1341841601.022864.png
1341841601.0573 -2.8664 2.5219 1.7860 -0.2048 0.7995 -0.5481 0.1355 1341841601.054976.png 1341841601.022864.png
1341841601.0873 -2.8561 2.5220 1.7863 -0.1990 0.8004 -0.5495 0.1336 1341841601.090898.png 1341841601.090935.png
1341841601.1273 -2.8420 2.5227 1.7865 -0.1909 0.7997 -0.5524 0.1378 1341841601.122739.png 1341841601.122751.png
1341841601.1581 -2.8311 2.5251 1.7864 -0.1879 0.8015 -0.5498 0.1410 1341841601.158930.png 1341841601.159538.png
1341841601.1873 -2.8190 2.5260 1.7855 -0.1878 0.8004 -0.5513 0.1422 1341841601.190637.png 1341841601.190647.png
1341841601.2273 -2.8036 2.5277 1.7846 -0.1853 0.8013 -0.5529 0.1338 1341841601.222848.png 1341841601.222861.png
1341841601.2573 -2.7926 2.5291 1.7848 -0.1853 0.7989 -0.5566 0.1325 1341841601.258671.png 1341841601.258689.png
1341841601.2873 -2.7806 2.5302 1.7848 -0.1862 0.8006 -0.5546 0.1300 1341841601.291100.png 1341841601.291113.png
1341841601.3274 -2.7654 2.5317 1.7848 -0.1845 0.8022 -0.5538 0.1255 1341841601.326672.png 1341841601.326704.png
1341841601.3573 -2.7543 2.5327 1.7857 -0.1805 0.8004 -0.5577 0.1252 1341841601.358632.png 1341841601.358648.png
1341841601.3873 -2.7423 2.5344 1.7869 -0.1762 0.8026 -0.5556 0.1269 1341841601.390676.png 1341841601.390694.png
1341841601.4274 -2.7252 2.5373 1.7890 -0.1752 0.7996 -0.5591 0.1315 1341841601.429952.png 1341841601.429996.png
1341841601.4673 -2.7073 2.5406 1.7912 -0.1740 0.7980 -0.5633 0.1252 1341841601.462234.png 1341841601.463253.png
1341841601.4973 -2.6933 2.5434 1.7922 -0.1750 0.7988 -0.5631 0.1188 1341841601.497745.png 1341841601.497752.png
1341841601.5273 -2.6790 2.5461 1.7936 -0.1760 0.7974 -0.5647 0.1196 1341841601.529994.png 1341841601.530021.png
1341841601.5673 -2.6597 2.5507 1.7951 -0.1742 0.7981 -0.5647 0.1175 1341841601.565831.png 1341841601.565844.png
1341841601.5973 -2.6460 2.5546 1.7968 -0.1684 0.7973 -0.5685 0.1129 1341841601.597609.png 1341841601.597623.png
1341841601.6273 -2.6321 2.5591 1.7981 -0.1627 0.7943 -0.5745 0.1119 1341841601.629909.png 1341841601.629929.png
1341841601.6681 -2.6121 2.5655 1.7988 -0.1606 0.7950 -0.5736 0.1148 1341841601.666831.png 1341841601.666889.png
1341841601.6980 -2.5967 2.5703 1.7985 -0.1610 0.7963 -0.5719 0.1139 1341841601.697635.png 1341841601.697653.png
1341841601.7373 -2.5776 2.5775 1.7985 -0.1570 0.7977 -0.5728 0.1046 1341841601.733826.png 1341841601.733837.png
1341841601.7699 -2.5636 2.5832 1.7986 -0.1514 0.7947 -0.5785 0.1045 1341841601.765718.png 1341841601.765729.png
1341841601.7978 -2.5490 2.5879 1.7979 -0.1490 0.7947 -0.5784 0.1084 1341841601.797718.png 1341841601.798338.png
1341841601.8373 -2.5301 2.5923 1.7964 -0.1454 0.8027 -0.5692 0.1028 1341841601.833796.png 1341841601.833818.png
1341841601.8674 -2.5162 2.5956 1.7967 -0.1382 0.8066 -0.5662 0.0986 1341841601.865735.png 1341841601.865746.png
1341841601.8975 -2.5019 2.6005 1.7987 -0.1321 0.8054 -0.5684 0.1040 1341841601.901914.png 1341841601.901930.png
1341841601.9374 -2.4815 2.6077 1.8024 -0.1291 0.8013 -0.5732 0.1128 1341841601.934011.png 1341841601.934041.png
1341841601.9673 -2.4663 2.6129 1.8044 -0.1255 0.8002 -0.5761 0.1094 1341841601.965778.png 1341841601.965792.png
1341841601.9973 -2.4511 2.6168 1.8058 -0.1226 0.7988 -0.5798 0.1037 1341841602.001788.png 1341841602.001803.png
1341841602.0373 -2.4305 2.6205 1.8066 -0.1210 0.8000 -0.5792 0.0997 1341841602.033876.png 1341841602.033901.png
1341841602.0673 -2.4151 2.6224 1.8073 -0.1211 0.8015 -0.5770 0.1001 1341841602.069668.png 1341841602.069694.png
1341841602.0973 -2.4002 2.6242 1.8082 -0.1207 0.8019 -0.5769 0.0983 1341841602.101857.png 1341841602.101878.png
1341841602.1377 -2.3808 2.6260 1.8099 -0.1194 0.8017 -0.5777 0.0965 1341841602.133666.png 1341841602.133677.png
1341841602.1705 -2.3675 2.6288 1.8104 -0.1245 0.8040 -0.5730 0.0986 1341841602.169709.png 1341841602.169724.png
1341841602.1980 -2.3529 2.6286 1.8106 -0.1231 0.8036 -0.5741 0.0974 1341841602.202227.png 1341841602.202308.png
1341841602.2374 -2.3348 2.6283 1.8099 -0.1221 0.8046 -0.5739 0.0915 1341841602.237863.png 1341841602.237889.png
1341841602.2673 -2.3219 2.6277 1.8093 -0.1224 0.8041 -0.5747 0.0905 1341841602.269722.png 1341841602.269752.png
1341841602.2973 -2.3094 2.6270 1.8084 -0.1235 0.8055 -0.5725 0.0900 1341841602.301703.png 1341841602.301759.png
1341841602.3397 -2.2935 2.6250 1.8065 -0.1242 0.8073 -0.5705 0.0856 1341841602.337795.png 1341841602.337738.png
1341841602.3673 -2.2823 2.6228 1.8052 -0.1215 0.8072 -0.5715 0.0834 1341841602.369745.png 1341841602.369771.png
1341841602.3974 -2.2713 2.6207 1.8039 -0.1200 0.8084 -0.5702 0.0838 1341841602.401658.png 1341841602.401675.png
1341841602.4373 -2.2562 2.6176 1.8021 -0.1183 0.8085 -0.5704 0.0831 1341841602.437831.png 1341841602.437842.png
1341841602.4674 -2.2451 2.6152 1.8005 -0.1178 0.8076 -0.5723 0.0804 1341841602.469728.png 1341841602.469770.png
1341841602.5094 -2.2305 2.6116 1.7980 -0.1150 0.8075 -0.5731 0.0788 1341841602.505790.png 1341841602.505803.png
1341841602.5373 -2.2194 2.6086 1.7959 -0.1137 0.8081 -0.5725 0.0797 1341841602.537740.png 1341841602.537752.png
1341841602.5973 -2.1974 2.6018 1.7922 -0.1060 0.8081 -0.5745 0.0752 1341841602.598708.png 1341841602.598721.png
1341841602.6273 -2.1856 2.5985 1.7908 -0.1039 0.8091 -0.5735 0.0755 1341841602.630910.png 1341841602.631584.png
1341841602.6673 -2.1691 2.5942 1.7896 -0.1033 0.8081 -0.5747 0.0771 1341841602.666887.png 1341841602.666939.png
1341841602.6973 -2.1564 2.5907 1.7882 -0.1018 0.8089 -0.5741 0.0754 1341841602.698865.png 1341841602.698900.png
1341841602.7305 -2.1443 2.5871 1.7872 -0.0995 0.8101 -0.5732 0.0724 1341841602.730724.png 1341841602.730736.png
1341841602.7673 -2.1281 2.5819 1.7859 -0.0944 0.8116 -0.5718 0.0736 1341841602.766817.png 1341841602.766847.png
1341841602.7973 -2.1157 2.5779 1.7854 -0.0908 0.8133 -0.5699 0.0741 1341841602.798815.png 1341841602.798839.png
1341841602.8373 -2.0996 2.5732 1.7857 -0.0871 0.8140 -0.5702 0.0689 1341841602.834782.png 1341841602.835501.png
1341841602.8675 -2.0868 2.5699 1.7869 -0.0852 0.8134 -0.5716 0.0668 1341841602.866663.png 1341841602.866712.png
1341841602.8973 -2.0744 2.5665 1.7894 -0.0830 0.8136 -0.5715 0.0682 1341841602.898749.png 1341841602.898793.png
1341841602.9373 -2.0577 2.5628 1.7947 -0.0790 0.8125 -0.5733 0.0699 1341841602.934890.png 1341841602.934902.png
1341841602.9673 -2.0456 2.5616 1.8002 -0.0751 0.8090 -0.5787 0.0702 1341841602.966685.png 1341841602.966696.png
1341841602.9986 -2.0328 2.5607 1.8053 -0.0726 0.8041 -0.5854 0.0738 1341841602.998898.png 1341841602.998922.png
1341841603.0373 -2.0155 2.5597 1.8108 -0.0723 0.8019 -0.5880 0.0769 1341841603.034725.png 1341841603.034780.png
1341841603.0673 -2.0027 2.5588 1.8136 -0.0722 0.8022 -0.5878 0.0757 1341841603.066799.png 1341841603.066822.png
1341841603.1073 -1.9862 2.5569 1.8155 -0.0727 0.8041 -0.5858 0.0702 1341841603.102853.png 1341841603.102862.png
1341841603.1373 -1.9739 2.5546 1.8164 -0.0747 0.8067 -0.5824 0.0666 1341841603.134724.png 1341841603.134733.png
1341841603.1673 -1.9625 2.5528 1.8172 -0.0745 0.8082 -0.5808 0.0621 1341841603.166804.png 1341841603.166860.png
1341841603.2074 -1.9482 2.5506 1.8187 -0.0701 0.8068 -0.5838 0.0572 1341841603.202677.png 1341841603.202693.png
1341841603.2374 -1.9369 2.5487 1.8191 -0.0692 0.8057 -0.5855 0.0563 1341841603.234699.png 1341841603.234718.png
1341841603.2673 -1.9249 2.5467 1.8186 -0.0686 0.8060 -0.5852 0.0559 1341841603.266694.png 1341841603.266719.png
1341841603.3077 -1.9094 2.5430 1.8167 -0.0676 0.8075 -0.5838 0.0509 1341841603.302844.png 1341841603.302855.png
1341841603.3374 -1.8976 2.5402 1.8156 -0.0658 0.8087 -0.5826 0.0471 1341841603.334787.png 1341841603.334804.png
1341841603.3673 -1.8851 2.5375 1.8147 -0.0648 0.8094 -0.5817 0.0479 1341841603.370589.png 1341841603.370609.png
