# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341847980.7900 -0.6832 2.6909 1.7373 0.0003 0.8617 -0.5072 -0.0145 1341847980.786856.png 1341847980.786879.png
1341847980.8201 -0.6821 2.6914 1.7371 0.0003 0.8609 -0.5085 -0.0151 1341847980.822978.png 1341847980.822989.png
1341847980.8500 -0.6811 2.6918 1.7371 0.0001 0.8610 -0.5084 -0.0159 1341847980.854676.png 1341847980.854690.png
1341847980.8901 -0.6797 2.6921 1.7373 0.0000 0.8610 -0.5083 -0.0162 1341847980.890728.png 1341847980.890737.png
1341847980.9200 -0.6785 2.6925 1.7375 -0.0003 0.8607 -0.5088 -0.0160 1341847980.922978.png 1341847980.922989.png
1341847980.9500 -0.6775 2.6928 1.7374 -0.0001 0.8607 -0.5088 -0.0166 1341847980.954645.png 1341847980.954676.png
1341847980.9900 -0.6759 2.6933 1.7375 -0.0002 0.8611 -0.5082 -0.0170 1341847980.990699.png 1341847980.990724.png
1341847981.0200 -0.6749 2.6938 1.7375 -0.0003 0.8609 -0.5085 -0.0170 1341847981.022715.png 1341847981.022728.png
1341847981.0500 -0.6736 2.6942 1.7374 -0.0001 0.8615 -0.5075 -0.0174 1341847981.054711.png 1341847981.054773.png
1341847981.0900 -0.6717 2.6947 1.7374 0.0007 0.8608 -0.5086 -0.0185 1341847981.090715.png 1341847981.090786.png
1341847981.1200 -0.6702 2.6950 1.7376 0.0012 0.8605 -0.5091 -0.0192 1341847981.122985.png 1341847981.123049.png
1341847981.1600 -0.6682 2.6954 1.7377 0.0024 0.8606 -0.5089 -0.0183 1341847981.158632.png 1341847981.158648.png
1341847981.1900 -0.6666 2.6954 1.7380 0.0030 0.8609 -0.5084 -0.0174 1341847981.190636.png 1341847981.190650.png
1341847981.2203 -0.6648 2.6960 1.7385 0.0045 0.8607 -0.5088 -0.0169 1341847981.222978.png 1341847981.222989.png
1341847981.2601 -0.6618 2.6966 1.7389 0.0063 0.8606 -0.5090 -0.0150 1341847981.258722.png 1341847981.258781.png
1341847981.2900 -0.6595 2.6971 1.7392 0.0069 0.8607 -0.5088 -0.0156 1341847981.290787.png 1341847981.290854.png
1341847981.3216 -0.6569 2.6976 1.7395 0.0074 0.8602 -0.5096 -0.0167 1341847981.322892.png 1341847981.322934.png
1341847981.3601 -0.6527 2.6990 1.7395 0.0083 0.8604 -0.5093 -0.0175 1341847981.358690.png 1341847981.358724.png
1341847981.3900 -0.6495 2.7000 1.7397 0.0094 0.8600 -0.5099 -0.0174 1341847981.390810.png 1341847981.390852.png
1341847981.4301 -0.6446 2.7011 1.7401 0.0097 0.8597 -0.5104 -0.0164 1341847981.426707.png 1341847981.426732.png
1341847981.4600 -0.6402 2.7029 1.7401 0.0110 0.8597 -0.5104 -0.0162 1341847981.458797.png 1341847981.459399.png
1341847981.4900 -0.6360 2.7038 1.7400 0.0107 0.8598 -0.5102 -0.0168 1341847981.490701.png 1341847981.493435.png
1341847981.5305 -0.6295 2.7059 1.7399 0.0111 0.8593 -0.5111 -0.0181 1341847981.527039.png 1341847981.527062.png
1341847981.5610 -0.6244 2.7078 1.7395 0.0116 0.8596 -0.5105 -0.0191 1341847981.558722.png 1341847981.558770.png
1341847981.5901 -0.6192 2.7091 1.7394 0.0116 0.8593 -0.5110 -0.0205 1341847981.594855.png 1341847981.594880.png
1341847981.6300 -0.6121 2.7113 1.7388 0.0123 0.8585 -0.5122 -0.0211 1341847981.626675.png 1341847981.626685.png
1341847981.6601 -0.6067 2.7131 1.7381 0.0122 0.8594 -0.5106 -0.0221 1341847981.658738.png 1341847981.658793.png
1341847981.6901 -0.6015 2.7146 1.7372 0.0126 0.8587 -0.5118 -0.0230 1341847981.694720.png 1341847981.694765.png
1341847981.7300 -0.5947 2.7165 1.7357 0.0137 0.8591 -0.5110 -0.0232 1341847981.726650.png 1341847981.726727.png
1341847981.7601 -0.5897 2.7180 1.7346 0.0134 0.8597 -0.5101 -0.0232 1341847981.758846.png 1341847981.758922.png
1341847981.7902 -0.5845 2.7197 1.7330 0.0135 0.8601 -0.5094 -0.0235 1341847981.794659.png 1341847981.794679.png
1341847981.8301 -0.5781 2.7217 1.7311 0.0134 0.8612 -0.5074 -0.0247 1341847981.826678.png 1341847981.826688.png
1341847981.8600 -0.5731 2.7232 1.7301 0.0129 0.8605 -0.5087 -0.0251 1341847981.862719.png 1341847981.862742.png
1341847981.8900 -0.5686 2.7242 1.7291 0.0129 0.8606 -0.5086 -0.0242 1341847981.894631.png 1341847981.894645.png
1341847981.9300 -0.5624 2.7260 1.7280 0.0132 0.8622 -0.5058 -0.0237 1341847981.926602.png 1341847981.927087.png
1341847981.9601 -0.5585 2.7263 1.7278 0.0129 0.8627 -0.5050 -0.0234 1341847981.962757.png 1341847981.994858.png
1341847981.9900 -0.5544 2.7268 1.7279 0.0126 0.8627 -0.5050 -0.0236 1341847981.994808.png 1341847981.994858.png
1341847982.0301 -0.5488 2.7272 1.7281 0.0110 0.8622 -0.5058 -0.0244 1341847982.027112.png 1341847981.994858.png
1341847982.0600 -0.5449 2.7273 1.7284 0.0098 0.8615 -0.5071 -0.0247 1341847982.062739.png 1341847982.062794.png
1341847982.1000 -0.5400 2.7278 1.7289 0.0087 0.8614 -0.5073 -0.0249 1341847982.094786.png 1341847982.095304.png
1341847982.1300 -0.5367 2.7284 1.7299 0.0078 0.8599 -0.5098 -0.0246 1341847982.130710.png 1341847982.130739.png
1341847982.1627 -0.5339 2.7282 1.7312 0.0077 0.8588 -0.5118 -0.0225 1341847982.162730.png 1341847982.162746.png
1341847982.1900 -0.5313 2.7281 1.7321 0.0088 0.8598 -0.5101 -0.0217 1341847982.194674.png 1341847982.194690.png
1341847982.2301 -0.5277 2.7277 1.7330 0.0105 0.8602 -0.5092 -0.0241 1341847982.230594.png 1341847982.230626.png
1341847982.2600 -0.5251 2.7275 1.7339 0.0106 0.8598 -0.5098 -0.0261 1341847982.262666.png 1341847982.262694.png
1341847982.2902 -0.5222 2.7273 1.7348 0.0108 0.8597 -0.5099 -0.0285 1341847982.294994.png 1341847982.295020.png
1341847982.3300 -0.5179 2.7274 1.7366 0.0137 0.8580 -0.5126 -0.0291 1341847982.362722.png 1341847982.330680.png
1341847982.4000 -0.5097 2.7278 1.7400 0.0163 0.8565 -0.5153 -0.0237 1341847982.398909.png 1341847982.398929.png
1341847982.4300 -0.5060 2.7278 1.7407 0.0189 0.8561 -0.5160 -0.0238 1341847982.430770.png 1341847982.430799.png
1341847982.4600 -0.5029 2.7266 1.7415 0.0208 0.8557 -0.5164 -0.0258 1341847982.462624.png 1341847982.462632.png
1341847982.5001 -0.4979 2.7255 1.7416 0.0225 0.8563 -0.5152 -0.0294 1341847982.498616.png 1341847982.498627.png
1341847982.5302 -0.4936 2.7243 1.7414 0.0236 0.8564 -0.5148 -0.0307 1341847982.530757.png 1341847982.530781.png
1341847982.5700 -0.4876 2.7226 1.7411 0.0268 0.8575 -0.5128 -0.0315 1341847982.566660.png 1341847982.566676.png
1341847982.6000 -0.4831 2.7215 1.7408 0.0291 0.8590 -0.5100 -0.0338 1341847982.598726.png 1341847982.598757.png
1341847982.6300 -0.4777 2.7202 1.7404 0.0303 0.8586 -0.5104 -0.0358 1341847982.630723.png 1341847982.630827.png
1341847982.6700 -0.4704 2.7186 1.7399 0.0326 0.8600 -0.5078 -0.0386 1341847982.666620.png 1341847982.666629.png
1341847982.7000 -0.4642 2.7172 1.7391 0.0349 0.8601 -0.5073 -0.0415 1341847982.698638.png 1341847982.698652.png
1341847982.7305 -0.4578 2.7158 1.7390 0.0358 0.8601 -0.5069 -0.0446 1341847982.730674.png 1341847982.731415.png
1341847982.7701 -0.4483 2.7143 1.7387 0.0386 0.8593 -0.5080 -0.0466 1341847982.766706.png 1341847982.766748.png
1341847982.8001 -0.4406 2.7139 1.7386 0.0415 0.8598 -0.5068 -0.0477 1341847982.798737.png 1341847982.798982.png
1341847982.8300 -0.4324 2.7130 1.7388 0.0423 0.8592 -0.5075 -0.0486 1341847982.834747.png 1341847982.834818.png
1341847982.8600 -0.4236 2.7122 1.7392 0.0434 0.8576 -0.5101 -0.0490 1341847982.866670.png 1341847982.866706.png
1341847982.9001 -0.4111 2.7112 1.7392 0.0440 0.8567 -0.5117 -0.0480 1341847982.898700.png 1341847982.898764.png
1341847982.9300 -0.4008 2.7105 1.7388 0.0449 0.8576 -0.5103 -0.0457 1341847982.934803.png 1341847982.934825.png
1341847982.9701 -0.3873 2.7090 1.7377 0.0458 0.8582 -0.5093 -0.0449 1341847982.966708.png 1341847982.966733.png
1341847983.0002 -0.3775 2.7080 1.7368 0.0457 0.8584 -0.5087 -0.0474 1341847982.998783.png 1341847982.998830.png
1341847983.0300 -0.3677 2.7070 1.7358 0.0462 0.8593 -0.5069 -0.0492 1341847983.034693.png 1341847983.034747.png
1341847983.0700 -0.3548 2.7059 1.7347 0.0475 0.8598 -0.5060 -0.0483 1341847983.066707.png 1341847983.066757.png
1341847983.1000 -0.3454 2.7052 1.7342 0.0484 0.8601 -0.5055 -0.0480 1341847983.102757.png 1341847983.102773.png
1341847983.1300 -0.3361 2.7043 1.7342 0.0493 0.8595 -0.5064 -0.0475 1341847983.134717.png 1341847983.134819.png
1341847983.1700 -0.3237 2.7033 1.7344 0.0495 0.8589 -0.5076 -0.0458 1341847983.166651.png 1341847983.166667.png
1341847983.2001 -0.3144 2.7025 1.7346 0.0500 0.8592 -0.5072 -0.0446 1341847983.202653.png 1341847983.202670.png
1341847983.2300 -0.3052 2.7016 1.7345 0.0507 0.8598 -0.5063 -0.0438 1341847983.234717.png 1341847983.235241.png
