# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341840083.8994 -3.8422 1.4232 1.0629 -0.4943 0.8317 -0.2192 0.1259 1341840083.890155.png 1341840083.890192.png
1341840083.9294 -3.8418 1.4227 1.0628 -0.4943 0.8313 -0.2218 0.1240 1341840083.926071.png 1341840083.926530.png
1341840083.9612 -3.8415 1.4229 1.0627 -0.4944 0.8307 -0.2232 0.1253 1341840083.958095.png 1341840083.958118.png
1341840083.9894 -3.8413 1.4233 1.0628 -0.4951 0.8310 -0.2199 0.1262 1341840083.990000.png 1341840083.990077.png
1341840084.0293 -3.8410 1.4234 1.0623 -0.4955 0.8314 -0.2186 0.1246 1341840084.026121.png 1341840084.026139.png
1341840084.0620 -3.8409 1.4234 1.0616 -0.4955 0.8312 -0.2206 0.1227 1341840084.057936.png 1341840084.057949.png
1341840084.0899 -3.8407 1.4235 1.0613 -0.4956 0.8318 -0.2185 0.1217 1341840084.090022.png 1341840084.090034.png
1341840084.1293 -3.8402 1.4236 1.0613 -0.4946 0.8319 -0.2190 0.1242 1341840084.126053.png 1341840084.126067.png
1341840084.1594 -3.8399 1.4237 1.0609 -0.4953 0.8312 -0.2197 0.1244 1341840084.158032.png 1341840084.158058.png
1341840084.1993 -3.8393 1.4241 1.0601 -0.4949 0.8320 -0.2186 0.1227 1341840084.194127.png 1341840084.194663.png
1341840084.2293 -3.8391 1.4235 1.0603 -0.4966 0.8308 -0.2197 0.1222 1341840084.226042.png 1341840084.226061.png
1341840084.2596 -3.8385 1.4243 1.0600 -0.4943 0.8320 -0.2187 0.1250 1341840084.258027.png 1341840084.258043.png
1341840084.2894 -3.8382 1.4240 1.0600 -0.4953 0.8317 -0.2180 0.1241 1341840084.294117.png 1341840084.294139.png
1341840084.3293 -3.8379 1.4234 1.0602 -0.4955 0.8314 -0.2199 0.1218 1341840084.325994.png 1341840084.326013.png
1341840084.3593 -3.8374 1.4233 1.0602 -0.4947 0.8321 -0.2193 0.1216 1341840084.358007.png 1341840084.358030.png
1341840084.3893 -3.8369 1.4233 1.0604 -0.4941 0.8323 -0.2185 0.1241 1341840084.394092.png 1341840084.394197.png
1341840084.4293 -3.8366 1.4230 1.0605 -0.4939 0.8321 -0.2192 0.1249 1341840084.425964.png 1341840084.426034.png
1341840084.4594 -3.8365 1.4229 1.0605 -0.4939 0.8324 -0.2193 0.1226 1341840084.462012.png 1341840084.462028.png
1341840084.4893 -3.8362 1.4228 1.0603 -0.4943 0.8326 -0.2184 0.1216 1341840084.494007.png 1341840084.494016.png
1341840084.5293 -3.8359 1.4231 1.0603 -0.4955 0.8320 -0.2175 0.1224 1341840084.525979.png 1341840084.525994.png
1341840084.5593 -3.8356 1.4232 1.0603 -0.4958 0.8311 -0.2197 0.1230 1341840084.562039.png 1341840084.562045.png
1341840084.5894 -3.8355 1.4234 1.0604 -0.4961 0.8312 -0.2190 0.1224 1341840084.594095.png 1341840084.594109.png
1341840084.6292 -3.8352 1.4233 1.0599 -0.4963 0.8315 -0.2177 0.1222 1341840084.626070.png 1341840084.626115.png
1341840084.6593 -3.8351 1.4233 1.0599 -0.4959 0.8317 -0.2179 0.1222 1341840084.661961.png 1341840084.661999.png
1341840084.6899 -3.8349 1.4234 1.0599 -0.4951 0.8319 -0.2185 0.1229 1341840084.694181.png 1341840084.694201.png
1341840084.7293 -3.8349 1.4233 1.0598 -0.4957 0.8319 -0.2172 0.1229 1341840084.729879.png 1341840084.729901.png
1341840084.7594 -3.8348 1.4232 1.0596 -0.4960 0.8320 -0.2168 0.1213 1341840084.762054.png 1341840084.762071.png
1341840084.7993 -3.8346 1.4231 1.0596 -0.4960 0.8314 -0.2190 0.1215 1341840084.794567.png 1341840084.794582.png
1341840084.8293 -3.8346 1.4233 1.0593 -0.4962 0.8315 -0.2183 0.1213 1341840084.829914.png 1341840084.829933.png
