# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341845688.7021 -0.7041 -2.9302 1.4567 -0.7895 0.0312 -0.0138 0.6128 1341845688.697719.png 1341845688.697726.png
1341845688.7349 -0.7059 -2.9326 1.4570 -0.7878 0.0295 -0.0084 0.6152 1341845688.729899.png 1341845688.730039.png
1341845688.7622 -0.7074 -2.9349 1.4569 -0.7860 0.0293 -0.0067 0.6175 1341845688.761762.png 1341845688.761773.png
1341845688.8022 -0.7086 -2.9379 1.4560 -0.7855 0.0292 -0.0090 0.6181 1341845688.797687.png 1341845688.797703.png
1341845688.8322 -0.7094 -2.9402 1.4546 -0.7860 0.0289 -0.0122 0.6175 1341845688.829892.png 1341845688.829905.png
1341845688.8628 -0.7102 -2.9425 1.4533 -0.7860 0.0288 -0.0119 0.6174 1341845688.865774.png 1341845688.865784.png
1341845688.9322 -0.7129 -2.9487 1.4489 -0.7876 0.0246 -0.0047 0.6157 1341845688.929779.png 1341845688.929804.png
1341845688.9623 -0.7143 -2.9509 1.4473 -0.7870 0.0233 -0.0030 0.6165 1341845688.965631.png 1341845688.966306.png
1341845689.0022 -0.7160 -2.9536 1.4450 -0.7876 0.0215 -0.0067 0.6157 1341845688.997750.png 1341845688.997814.png
1341845689.0322 -0.7173 -2.9557 1.4428 -0.7897 0.0197 -0.0118 0.6131 1341845689.029751.png 1341845689.030318.png
1341845689.0663 -0.7179 -2.9578 1.4407 -0.7909 0.0197 -0.0138 0.6114 1341845689.065755.png 1341845689.065779.png
1341845689.1022 -0.7183 -2.9611 1.4382 -0.7936 0.0228 -0.0124 0.6079 1341845689.097725.png 1341845689.097743.png
1341845689.1322 -0.7185 -2.9633 1.4368 -0.7946 0.0252 -0.0118 0.6065 1341845689.133718.png 1341845689.133734.png
1341845689.1622 -0.7187 -2.9653 1.4353 -0.7956 0.0279 -0.0104 0.6051 1341845689.165884.png 1341845689.165899.png
