# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341836537.8070 -1.2432 1.9219 1.0547 0.4163 0.6811 -0.5140 -0.3139 1341836537.787367.png 1341836537.787384.png
1341836537.8269 -1.2416 1.9215 1.0546 0.4160 0.6818 -0.5133 -0.3141 1341836537.823375.png 1341836537.823406.png
1341836537.8568 -1.2394 1.9210 1.0549 0.4165 0.6830 -0.5105 -0.3153 1341836537.855421.png 1341836537.855464.png
1341836537.8868 -1.2375 1.9203 1.0553 0.4153 0.6832 -0.5090 -0.3187 1341836537.887593.png 1341836537.887631.png
1341836537.9268 -1.2353 1.9195 1.0566 0.4176 0.6802 -0.5100 -0.3205 1341836537.923463.png 1341836537.923504.png
1341836537.9568 -1.2340 1.9191 1.0575 0.4208 0.6778 -0.5106 -0.3207 1341836537.955620.png 1341836537.955638.png
1341836537.9868 -1.2324 1.9188 1.0578 0.4220 0.6777 -0.5092 -0.3214 1341836537.987525.png 1341836537.987538.png
1341836538.0295 -1.2308 1.9182 1.0578 0.4222 0.6773 -0.5068 -0.3259 1341836538.023300.png 1341836538.023346.png
1341836538.0568 -1.2290 1.9171 1.0579 0.4218 0.6777 -0.5059 -0.3270 1341836538.055509.png 1341836538.055538.png
1341836538.0868 -1.2268 1.9156 1.0577 0.4201 0.6792 -0.5060 -0.3257 1341836538.087628.png 1341836538.087643.png
1341836538.1269 -1.2241 1.9132 1.0574 0.4182 0.6802 -0.5054 -0.3272 1341836538.123334.png 1341836538.123348.png
1341836538.1568 -1.2222 1.9111 1.0573 0.4175 0.6795 -0.5052 -0.3298 1341836538.155344.png 1341836538.155357.png
1341836538.1877 -1.2198 1.9090 1.0574 0.4177 0.6785 -0.5066 -0.3295 1341836538.191519.png 1341836538.191545.png
1341836538.2268 -1.2160 1.9054 1.0571 0.4203 0.6774 -0.5066 -0.3282 1341836538.223356.png 1341836538.223372.png
1341836538.2569 -1.2131 1.9021 1.0568 0.4200 0.6758 -0.5074 -0.3308 1341836538.255568.png 1341836538.255643.png
1341836538.2868 -1.2099 1.8988 1.0565 0.4197 0.6745 -0.5085 -0.3322 1341836538.291700.png 1341836538.291725.png
1341836538.3268 -1.2051 1.8942 1.0565 0.4225 0.6741 -0.5077 -0.3307 1341836538.323323.png 1341836538.323337.png
1341836538.3575 -1.2015 1.8898 1.0557 0.4232 0.6713 -0.5100 -0.3320 1341836538.355402.png 1341836538.355412.png
1341836538.3892 -1.1979 1.8859 1.0552 0.4246 0.6694 -0.5111 -0.3321 1341836538.391298.png 1341836538.391367.png
1341836538.4268 -1.1934 1.8805 1.0546 0.4266 0.6687 -0.5103 -0.3323 1341836538.423501.png 1341836538.423540.png
1341836538.4624 -1.1897 1.8763 1.0539 0.4279 0.6682 -0.5104 -0.3316 1341836538.456232.png 1341836538.456249.png
1341836538.4868 -1.1865 1.8718 1.0535 0.4293 0.6668 -0.5112 -0.3313 1341836538.491425.png 1341836538.491493.png
1341836538.5268 -1.1822 1.8657 1.0529 0.4316 0.6666 -0.5093 -0.3316 1341836538.523417.png 1341836538.523474.png
1341836538.5569 -1.1791 1.8613 1.0527 0.4308 0.6673 -0.5092 -0.3313 1341836538.556411.png 1341836538.556437.png
1341836538.5868 -1.1761 1.8570 1.0527 0.4304 0.6686 -0.5086 -0.3303 1341836538.591453.png 1341836538.591481.png
1341836538.6270 -1.1730 1.8505 1.0524 0.4322 0.6651 -0.5100 -0.3327 1341836538.623386.png 1341836538.623407.png
1341836538.6568 -1.1705 1.8463 1.0523 0.4353 0.6650 -0.5088 -0.3308 1341836538.659232.png 1341836538.659256.png
1341836538.6868 -1.1679 1.8421 1.0520 0.4376 0.6649 -0.5079 -0.3294 1341836538.691411.png 1341836538.691432.png
1341836538.7269 -1.1652 1.8362 1.0512 0.4429 0.6611 -0.5081 -0.3295 1341836538.723365.png 1341836538.723848.png
1341836538.7568 -1.1630 1.8314 1.0504 0.4472 0.6591 -0.5070 -0.3294 1341836538.759383.png 1341836538.759392.png
1341836538.7868 -1.1607 1.8263 1.0497 0.4481 0.6585 -0.5076 -0.3286 1341836538.791663.png 1341836538.791689.png
1341836538.8270 -1.1579 1.8195 1.0492 0.4491 0.6573 -0.5086 -0.3280 1341836538.824233.png 1341836538.824251.png
1341836538.8569 -1.1555 1.8143 1.0483 0.4524 0.6569 -0.5056 -0.3288 1341836538.859625.png 1341836538.860243.png
1341836538.8868 -1.1534 1.8081 1.0475 0.4544 0.6559 -0.5060 -0.3274 1341836538.891338.png 1341836538.891350.png
1341836538.9268 -1.1505 1.7997 1.0468 0.4512 0.6578 -0.5085 -0.3242 1341836538.924362.png 1341836538.924381.png
1341836538.9569 -1.1492 1.7938 1.0464 0.4518 0.6563 -0.5081 -0.3272 1341836538.959281.png 1341836538.959319.png
1341836538.9970 -1.1482 1.7862 1.0461 0.4573 0.6520 -0.5059 -0.3314 1341836538.992295.png 1341836538.992321.png
1341836539.0269 -1.1472 1.7800 1.0461 0.4595 0.6490 -0.5080 -0.3313 1341836539.028701.png 1341836539.029481.png
1341836539.0568 -1.1463 1.7738 1.0464 0.4616 0.6478 -0.5081 -0.3303 1341836539.059493.png 1341836539.059505.png
1341836539.0969 -1.1461 1.7644 1.0460 0.4612 0.6461 -0.5066 -0.3365 1341836539.092314.png 1341836539.092728.png
1341836539.1268 -1.1458 1.7567 1.0455 0.4600 0.6455 -0.5070 -0.3388 1341836539.127236.png 1341836539.127260.png
1341836539.1569 -1.1452 1.7485 1.0451 0.4584 0.6461 -0.5083 -0.3377 1341836539.159608.png 1341836539.159653.png
1341836539.1968 -1.1440 1.7377 1.0437 0.4551 0.6478 -0.5077 -0.3397 1341836539.195388.png 1341836539.195399.png
1341836539.2268 -1.1426 1.7304 1.0431 0.4558 0.6496 -0.5036 -0.3415 1341836539.227456.png 1341836539.227467.png
1341836539.2570 -1.1411 1.7227 1.0430 0.4586 0.6491 -0.5018 -0.3414 1341836539.260399.png 1341836539.260445.png
1341836539.2970 -1.1383 1.7128 1.0433 0.4597 0.6498 -0.5011 -0.3395 1341836539.295519.png 1341836539.295530.png
1341836539.3268 -1.1366 1.7053 1.0438 0.4588 0.6492 -0.5014 -0.3415 1341836539.327434.png 1341836539.327497.png
1341836539.3668 -1.1344 1.6955 1.0436 0.4599 0.6489 -0.4991 -0.3439 1341836539.363371.png 1341836539.363405.png
1341836539.4012 -1.1328 1.6882 1.0431 0.4609 0.6496 -0.4983 -0.3423 1341836539.395523.png 1341836539.395552.png
1341836539.4268 -1.1311 1.6812 1.0429 0.4610 0.6501 -0.4979 -0.3420 1341836539.427397.png 1341836539.427481.png
1341836539.4676 -1.1295 1.6724 1.0426 0.4628 0.6492 -0.4957 -0.3446 1341836539.463424.png 1341836539.463468.png
1341836539.5015 -1.1282 1.6658 1.0424 0.4632 0.6488 -0.4943 -0.3465 1341836539.495503.png 1341836539.496039.png
1341836539.5297 -1.1267 1.6596 1.0423 0.4635 0.6487 -0.4948 -0.3458 1341836539.531399.png 1341836539.531413.png
1341836539.5670 -1.1249 1.6515 1.0425 0.4662 0.6471 -0.4942 -0.3460 1341836539.595489.png 1341836539.563408.png
1341836539.6272 -1.1224 1.6403 1.0432 0.4662 0.6452 -0.4937 -0.3501 1341836539.660431.png 1341836539.628454.png
1341836539.6968 -1.1197 1.6282 1.0439 0.4664 0.6442 -0.4949 -0.3500 1341836539.692462.png 1341836539.692478.png
1341836539.7279 -1.1186 1.6239 1.0436 0.4664 0.6447 -0.4928 -0.3522 1341836539.728498.png 1341836539.728517.png
1341836539.7569 -1.1177 1.6200 1.0432 0.4674 0.6448 -0.4904 -0.3540 1341836539.760370.png 1341836539.760387.png
1341836539.7975 -1.1168 1.6145 1.0428 0.4677 0.6446 -0.4902 -0.3543 1341836539.796542.png 1341836539.796564.png
1341836539.8268 -1.1158 1.6107 1.0425 0.4689 0.6450 -0.4883 -0.3546 1341836539.828612.png 1341836539.828638.png
1341836539.8570 -1.1152 1.6068 1.0419 0.4680 0.6452 -0.4869 -0.3572 1341836539.860428.png 1341836539.860447.png
1341836539.8969 -1.1143 1.6011 1.0415 0.4682 0.6438 -0.4872 -0.3590 1341836539.896538.png 1341836539.896574.png
1341836539.9268 -1.1133 1.5972 1.0412 0.4705 0.6443 -0.4851 -0.3581 1341836539.928277.png 1341836539.928295.png
1341836539.9668 -1.1128 1.5914 1.0408 0.4699 0.6427 -0.4872 -0.3588 1341836539.967421.png 1341836539.960658.png
1341836539.9968 -1.1116 1.5870 1.0401 0.4724 0.6423 -0.4854 -0.3587 1341836539.996305.png 1341836540.028567.png
1341836540.0269 -1.1109 1.5823 1.0392 0.4725 0.6423 -0.4854 -0.3585 1341836540.028550.png 1341836540.028567.png
