# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341836644.5361 -2.0162 1.8925 0.8184 0.3061 0.8331 -0.4234 -0.1814 1341836644.531415.png 1341836644.531481.png
1341836644.5660 -2.0156 1.8918 0.8175 0.3019 0.8329 -0.4264 -0.1823 1341836644.564591.png 1341836644.564599.png
1341836644.5960 -2.0136 1.8911 0.8169 0.3023 0.8334 -0.4250 -0.1829 1341836644.599367.png 1341836644.599381.png
1341836644.6362 -2.0120 1.8896 0.8167 0.3030 0.8326 -0.4256 -0.1842 1341836644.631394.png 1341836644.631409.png
1341836644.6666 -2.0102 1.8877 0.8168 0.3045 0.8321 -0.4252 -0.1847 1341836644.667522.png 1341836644.667536.png
1341836644.6960 -2.0074 1.8855 0.8170 0.3055 0.8321 -0.4247 -0.1840 1341836644.699329.png 1341836644.699353.png
1341836644.7361 -2.0038 1.8819 0.8178 0.3046 0.8326 -0.4245 -0.1837 1341836644.732436.png 1341836644.732451.png
1341836644.7660 -2.0008 1.8788 0.8189 0.3037 0.8325 -0.4243 -0.1861 1341836644.767608.png 1341836644.767687.png
1341836644.7960 -1.9977 1.8752 0.8200 0.3035 0.8320 -0.4246 -0.1880 1341836644.799416.png 1341836644.799449.png
1341836644.8360 -1.9932 1.8700 0.8219 0.3036 0.8314 -0.4250 -0.1895 1341836644.835424.png 1341836644.835539.png
1341836644.8660 -1.9894 1.8660 0.8234 0.3052 0.8315 -0.4232 -0.1910 1341836644.867494.png 1341836644.867527.png
1341836644.8960 -1.9855 1.8618 0.8254 0.3082 0.8307 -0.4205 -0.1952 1341836644.900397.png 1341836644.900459.png
1341836644.9362 -1.9798 1.8564 0.8281 0.3126 0.8291 -0.4192 -0.1978 1341836644.935459.png 1341836644.935462.png
1341836644.9661 -1.9755 1.8530 0.8297 0.3121 0.8289 -0.4209 -0.1961 1341836644.967501.png 1341836644.967511.png
1341836645.0061 -1.9689 1.8487 0.8308 0.3117 0.8291 -0.4217 -0.1942 1341836645.003481.png 1341836645.003581.png
1341836645.0360 -1.9635 1.8458 0.8318 0.3132 0.8294 -0.4198 -0.1944 1341836645.035729.png 1341836645.035890.png
1341836645.0660 -1.9580 1.8432 0.8322 0.3151 0.8291 -0.4186 -0.1954 1341836645.067522.png 1341836645.067581.png
1341836645.1009 -1.9527 1.8403 0.8325 0.3154 0.8291 -0.4185 -0.1949 1341836645.103395.png 1341836645.103481.png
1341836645.1360 -1.9453 1.8366 0.8327 0.3156 0.8299 -0.4177 -0.1931 1341836645.135434.png 1341836645.135476.png
1341836645.1760 -1.9386 1.8327 0.8333 0.3173 0.8287 -0.4180 -0.1945 1341836645.171464.png 1341836645.171555.png
1341836645.2060 -1.9337 1.8298 0.8335 0.3195 0.8278 -0.4165 -0.1982 1341836645.203602.png 1341836645.203629.png
1341836645.2361 -1.9290 1.8271 0.8339 0.3220 0.8272 -0.4141 -0.2016 1341836645.235429.png 1341836645.203629.png
1341836645.2660 -1.9236 1.8241 0.8339 0.3238 0.8269 -0.4134 -0.2013 1341836645.268485.png 1341836645.268557.png
1341836645.2960 -1.9179 1.8210 0.8341 0.3246 0.8273 -0.4130 -0.1991 1341836645.300381.png 1341836645.300400.png
1341836645.3367 -1.9107 1.8168 0.8339 0.3253 0.8270 -0.4130 -0.1993 1341836645.332448.png 1341836645.332462.png
1341836645.3660 -1.9049 1.8134 0.8340 0.3267 0.8258 -0.4136 -0.2008 1341836645.368637.png 1341836645.368674.png
1341836645.3960 -1.8992 1.8100 0.8340 0.3264 0.8260 -0.4131 -0.2013 1341836645.400357.png 1341836645.400762.png
1341836645.4361 -1.8915 1.8062 0.8338 0.3236 0.8265 -0.4140 -0.2017 1341836645.436458.png 1341836645.436512.png
1341836645.4661 -1.8855 1.8036 0.8332 0.3235 0.8271 -0.4129 -0.2018 1341836645.468292.png 1341836645.468321.png
1341836645.4960 -1.8802 1.8010 0.8329 0.3230 0.8273 -0.4132 -0.2014 1341836645.500314.png 1341836645.500376.png
1341836645.5384 -1.8741 1.7978 0.8326 0.3249 0.8263 -0.4135 -0.2015 1341836645.536518.png 1341836645.536527.png
1341836645.5662 -1.8700 1.7952 0.8322 0.3278 0.8253 -0.4130 -0.2022 1341836645.568523.png 1341836645.568530.png
1341836645.5960 -1.8659 1.7927 0.8318 0.3314 0.8258 -0.4098 -0.2007 1341836645.600614.png 1341836645.600646.png
1341836645.6360 -1.8612 1.7890 0.8318 0.3345 0.8238 -0.4123 -0.1989 1341836645.636399.png 1341836645.636412.png
1341836645.6661 -1.8583 1.7865 0.8313 0.3337 0.8236 -0.4132 -0.1990 1341836645.668423.png 1341836645.668435.png
1341836645.7092 -1.8551 1.7835 0.8296 0.3338 0.8251 -0.4082 -0.2029 1341836645.704571.png 1341836645.704591.png
1341836645.7361 -1.8532 1.7811 0.8289 0.3350 0.8237 -0.4093 -0.2042 1341836645.736446.png 1341836645.736474.png
1341836645.7660 -1.8510 1.7791 0.8279 0.3357 0.8246 -0.4092 -0.1998 1341836645.768581.png 1341836645.769154.png
1341836645.8061 -1.8496 1.7768 0.8270 0.3378 0.8227 -0.4101 -0.2022 1341836645.804471.png 1341836645.804900.png
1341836645.8362 -1.8488 1.7750 0.8264 0.3395 0.8233 -0.4058 -0.2057 1341836645.836450.png 1341836645.836473.png
1341836645.8660 -1.8474 1.7735 0.8256 0.3408 0.8240 -0.4035 -0.2050 1341836645.868482.png 1341836645.868524.png
1341836645.9060 -1.8459 1.7705 0.8248 0.3408 0.8228 -0.4067 -0.2036 1341836645.904369.png 1341836645.904425.png
1341836645.9360 -1.8453 1.7685 0.8243 0.3416 0.8237 -0.4039 -0.2042 1341836645.936671.png 1341836645.936694.png
1341836645.9760 -1.8445 1.7652 0.8242 0.3453 0.8217 -0.4023 -0.2092 1341836645.972383.png 1341836645.972435.png
1341836646.0063 -1.8438 1.7627 0.8245 0.3472 0.8216 -0.4011 -0.2086 1341836646.004478.png 1341836646.004514.png
1341836646.0374 -1.8431 1.7603 0.8249 0.3477 0.8209 -0.4031 -0.2069 1341836646.036301.png 1341836646.036314.png
1341836646.0760 -1.8428 1.7566 0.8257 0.3501 0.8196 -0.4035 -0.2072 1341836646.072544.png 1341836646.072598.png
1341836646.1099 -1.8430 1.7537 0.8263 0.3525 0.8187 -0.4023 -0.2088 1341836646.104418.png 1341836646.104427.png
1341836646.1386 -1.8430 1.7509 0.8269 0.3542 0.8178 -0.4031 -0.2081 1341836646.140512.png 1341836646.140527.png
1341836646.1760 -1.8428 1.7470 0.8285 0.3548 0.8162 -0.4059 -0.2078 1341836646.172566.png 1341836646.172580.png
1341836646.2101 -1.8424 1.7440 0.8293 0.3549 0.8152 -0.4066 -0.2103 1341836646.204386.png 1341836646.204404.png
1341836646.2360 -1.8421 1.7413 0.8297 0.3559 0.8149 -0.4049 -0.2129 1341836646.240475.png 1341836646.240530.png
1341836646.2760 -1.8409 1.7372 0.8301 0.3602 0.8140 -0.4037 -0.2116 1341836646.272445.png 1341836646.272457.png
1341836646.3111 -1.8399 1.7340 0.8306 0.3634 0.8126 -0.4045 -0.2098 1341836646.304437.png 1341836646.304467.png
1341836646.3360 -1.8387 1.7304 0.8302 0.3662 0.8112 -0.4053 -0.2088 1341836646.340458.png 1341836646.340470.png
1341836646.3760 -1.8366 1.7255 0.8295 0.3681 0.8108 -0.4033 -0.2110 1341836646.372536.png 1341836646.372549.png
1341836646.4062 -1.8347 1.7218 0.8293 0.3695 0.8106 -0.4024 -0.2108 1341836646.408321.png 1341836646.408338.png
1341836646.4459 -1.8321 1.7172 0.8291 0.3717 0.8091 -0.4042 -0.2092 1341836646.443411.png 1341836646.444016.png
1341836646.4760 -1.8299 1.7141 0.8288 0.3730 0.8090 -0.4036 -0.2086 1341836646.475541.png 1341836646.475570.png
1341836646.5160 -1.8274 1.7110 0.8283 0.3739 0.8091 -0.4015 -0.2108 1341836646.511330.png 1341836646.511340.png
1341836646.5460 -1.8256 1.7083 0.8282 0.3751 0.8081 -0.4013 -0.2128 1341836646.543429.png 1341836646.543477.png
1341836646.5762 -1.8236 1.7054 0.8279 0.3749 0.8078 -0.4020 -0.2129 1341836646.575532.png 1341836646.575541.png
1341836646.6161 -1.8209 1.7019 0.8278 0.3745 0.8091 -0.3997 -0.2129 1341836646.611374.png 1341836646.611384.png
1341836646.6459 -1.8188 1.6994 0.8278 0.3756 0.8081 -0.3996 -0.2152 1341836646.643418.png 1341836646.643431.png
1341836646.6767 -1.8168 1.6964 0.8281 0.3761 0.8076 -0.3995 -0.2165 1341836646.676255.png 1341836646.676270.png
1341836646.7160 -1.8139 1.6921 0.8285 0.3779 0.8078 -0.3990 -0.2130 1341836646.711566.png 1341836646.711583.png
1341836646.7478 -1.8124 1.6887 0.8288 0.3786 0.8075 -0.3991 -0.2131 1341836646.743612.png 1341836646.744261.png
1341836646.7762 -1.8113 1.6851 0.8292 0.3806 0.8061 -0.3983 -0.2162 1341836646.776453.png 1341836646.776527.png
1341836646.8104 -1.8099 1.6817 0.8296 0.3814 0.8054 -0.3984 -0.2172 1341836646.811314.png 1341836646.811330.png
1341836646.8460 -1.8087 1.6766 0.8291 0.3815 0.8050 -0.3992 -0.2170 1341836646.843456.png 1341836646.843476.png
1341836646.8760 -1.8074 1.6732 0.8285 0.3840 0.8054 -0.3966 -0.2157 1341836646.879601.png 1341836646.879617.png
1341836646.9160 -1.8061 1.6683 0.8286 0.3849 0.8041 -0.3980 -0.2166 1341836646.911508.png 1341836646.911524.png
1341836646.9459 -1.8053 1.6642 0.8287 0.3836 0.8036 -0.3989 -0.2192 1341836646.944466.png 1341836646.944518.png
1341836646.9761 -1.8046 1.6607 0.8284 0.3829 0.8037 -0.3982 -0.2211 1341836646.979650.png 1341836646.979666.png
1341836647.0060 -1.8035 1.6575 0.8283 0.3830 0.8045 -0.3967 -0.2208 1341836647.011549.png 1341836647.011562.png
1341836647.0460 -1.8020 1.6526 0.8278 0.3850 0.8037 -0.3965 -0.2205 1341836647.047276.png 1341836647.047627.png
1341836647.0760 -1.8006 1.6492 0.8275 0.3855 0.8041 -0.3955 -0.2197 1341836647.079883.png 1341836647.079900.png
1341836647.1160 -1.7994 1.6444 0.8274 0.3837 0.8052 -0.3938 -0.2220 1341836647.112309.png 1341836647.112339.png
1341836647.1462 -1.7978 1.6404 0.8271 0.3841 0.8053 -0.3927 -0.2232 1341836647.147394.png 1341836647.147477.png
1341836647.1760 -1.7972 1.6364 0.8274 0.3828 0.8052 -0.3937 -0.2238 1341836647.179760.png 1341836647.179780.png
1341836647.2160 -1.7956 1.6307 0.8266 0.3854 0.8047 -0.3933 -0.2219 1341836647.215378.png 1341836647.215389.png
1341836647.2459 -1.7947 1.6267 0.8267 0.3873 0.8044 -0.3917 -0.2224 1341836647.247420.png 1341836647.248101.png
1341836647.2759 -1.7939 1.6224 0.8269 0.3893 0.8033 -0.3911 -0.2242 1341836647.279655.png 1341836647.279730.png
1341836647.3160 -1.7926 1.6169 0.8271 0.3891 0.8036 -0.3903 -0.2248 1341836647.315536.png 1341836647.315558.png
1341836647.3462 -1.7912 1.6127 0.8275 0.3906 0.8031 -0.3903 -0.2239 1341836647.347424.png 1341836647.347702.png
1341836647.3859 -1.7893 1.6069 0.8285 0.3911 0.8023 -0.3913 -0.2240 1341836647.383428.png 1341836647.383489.png
