# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341839113.7770 -1.3820 2.3257 1.1232 0.3262 0.7504 -0.5255 -0.2332 1341839113.757458.png 1341839113.725630.png
1341839113.7969 -1.3815 2.3254 1.1230 0.3252 0.7508 -0.5255 -0.2333 1341839113.793718.png 1341839113.793734.png
1341839113.8269 -1.3816 2.3250 1.1232 0.3213 0.7515 -0.5265 -0.2341 1341839113.825830.png 1341839113.793734.png
1341839113.8578 -1.3810 2.3245 1.1228 0.3212 0.7519 -0.5260 -0.2341 1341839113.861553.png 1341839113.861564.png
1341839113.8976 -1.3803 2.3237 1.1221 0.3256 0.7512 -0.5249 -0.2327 1341839113.894400.png 1341839113.894423.png
1341839113.9277 -1.3803 2.3232 1.1221 0.3266 0.7507 -0.5255 -0.2316 1341839113.925550.png 1341839113.925567.png
1341839113.9570 -1.3801 2.3225 1.1218 0.3261 0.7511 -0.5254 -0.2313 1341839113.961614.png 1341839113.961650.png
1341839113.9970 -1.3798 2.3218 1.1213 0.3239 0.7527 -0.5239 -0.2323 1341839113.993616.png 1341839113.993637.png
1341839114.0272 -1.3796 2.3212 1.1212 0.3233 0.7525 -0.5251 -0.2316 1341839114.025642.png 1341839114.025656.png
1341839114.0569 -1.3797 2.3206 1.1209 0.3242 0.7529 -0.5241 -0.2310 1341839114.061534.png 1341839114.061547.png
1341839114.0970 -1.3794 2.3197 1.1201 0.3257 0.7548 -0.5210 -0.2297 1341839114.093617.png 1341839114.093656.png
1341839114.1290 -1.3791 2.3190 1.1198 0.3248 0.7555 -0.5208 -0.2293 1341839114.129556.png 1341839114.129568.png
1341839114.1570 -1.3785 2.3183 1.1193 0.3223 0.7556 -0.5215 -0.2307 1341839114.161678.png 1341839114.161687.png
1341839114.1971 -1.3771 2.3172 1.1185 0.3203 0.7581 -0.5190 -0.2308 1341839114.193605.png 1341839114.161687.png
1341839114.2270 -1.3758 2.3165 1.1182 0.3208 0.7580 -0.5192 -0.2299 1341839114.229673.png 1341839114.229696.png
1341839114.2570 -1.3749 2.3163 1.1180 0.3214 0.7571 -0.5198 -0.2307 1341839114.261690.png 1341839114.261732.png
