# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341839327.5053 -1.9026 2.1183 0.8811 0.3371 0.8044 -0.4601 -0.1663 1341839327.492713.png 1341839327.492724.png
1341839327.5254 -1.9028 2.1183 0.8811 0.3371 0.8033 -0.4615 -0.1673 1341839327.524801.png 1341839327.524824.png
1341839327.5653 -1.9027 2.1181 0.8808 0.3388 0.8031 -0.4616 -0.1647 1341839327.560844.png 1341839327.560867.png
1341839327.5853 -1.9025 2.1179 0.8805 0.3385 0.8044 -0.4599 -0.1640 1341839327.592601.png 1341839327.592616.png
1341839327.6253 -1.9025 2.1180 0.8801 0.3362 0.8050 -0.4595 -0.1670 1341839327.624910.png 1341839327.625438.png
1341839327.6653 -1.9026 2.1183 0.8800 0.3362 0.8038 -0.4614 -0.1672 1341839327.660734.png 1341839327.660773.png
1341839327.6953 -1.9024 2.1184 0.8794 0.3374 0.8047 -0.4597 -0.1655 1341839327.692726.png 1341839327.693149.png
1341839327.7254 -1.9022 2.1182 0.8788 0.3365 0.8065 -0.4573 -0.1651 1341839327.728746.png 1341839327.728770.png
1341839327.7653 -1.9023 2.1189 0.8787 0.3375 0.8053 -0.4578 -0.1674 1341839327.760684.png 1341839327.760693.png
1341839327.7979 -1.9023 2.1190 0.8786 0.3383 0.8050 -0.4582 -0.1664 1341839327.792848.png 1341839327.792870.png
1341839327.8253 -1.9021 2.1186 0.8781 0.3370 0.8064 -0.4568 -0.1657 1341839327.828735.png 1341839327.828764.png
1341839327.8553 -1.9021 2.1184 0.8779 0.3363 0.8068 -0.4565 -0.1664 1341839327.860775.png 1341839327.861088.png
1341839327.8953 -1.9022 2.1182 0.8780 0.3361 0.8059 -0.4580 -0.1668 1341839327.892707.png 1341839327.892736.png
1341839327.9252 -1.9023 2.1180 0.8778 0.3368 0.8059 -0.4574 -0.1670 1341839327.928885.png 1341839327.928913.png
1341839327.9652 -1.9023 2.1180 0.8778 0.3370 0.8058 -0.4570 -0.1680 1341839327.960681.png 1341839327.960709.png
1341839327.9953 -1.9023 2.1177 0.8778 0.3377 0.8050 -0.4579 -0.1679 1341839327.992694.png 1341839327.993314.png
1341839328.0253 -1.9023 2.1176 0.8779 0.3380 0.8051 -0.4577 -0.1677 1341839328.028635.png 1341839328.028650.png
1341839328.0653 -1.9023 2.1175 0.8776 0.3373 0.8052 -0.4574 -0.1692 1341839328.060669.png 1341839328.060694.png
1341839328.0952 -1.9021 2.1175 0.8776 0.3371 0.8052 -0.4577 -0.1688 1341839328.096628.png 1341839328.096649.png
1341839328.1252 -1.9020 2.1175 0.8775 0.3382 0.8054 -0.4568 -0.1680 1341839328.128788.png 1341839328.128874.png
1341839328.1653 -1.9020 2.1176 0.8772 0.3386 0.8060 -0.4553 -0.1688 1341839328.160826.png 1341839328.160854.png
1341839328.1952 -1.9019 2.1176 0.8770 0.3381 0.8060 -0.4553 -0.1694 1341839328.196725.png 1341839328.196745.png
1341839328.2252 -1.9014 2.1176 0.8770 0.3369 0.8064 -0.4560 -0.1684 1341839328.228674.png 1341839328.229156.png
1341839328.2652 -1.9010 2.1172 0.8770 0.3368 0.8081 -0.4531 -0.1683 1341839328.260676.png 1341839328.261208.png
1341839328.2953 -1.9010 2.1173 0.8770 0.3367 0.8078 -0.4531 -0.1695 1341839328.296667.png 1341839328.297137.png
1341839328.3253 -1.9010 2.1171 0.8770 0.3375 0.8074 -0.4535 -0.1690 1341839328.328755.png 1341839328.328784.png
1341839328.3552 -1.9012 2.1169 0.8769 0.3385 0.8074 -0.4530 -0.1682 1341839328.360635.png 1341839328.360665.png
1341839328.3952 -1.9010 2.1169 0.8769 0.3385 0.8076 -0.4523 -0.1691 1341839328.396819.png 1341839328.396926.png
1341839328.4253 -1.9007 2.1169 0.8769 0.3379 0.8076 -0.4529 -0.1689 1341839328.428710.png 1341839328.429370.png
1341839328.4652 -1.9006 2.1169 0.8769 0.3380 0.8075 -0.4527 -0.1694 1341839328.464835.png 1341839328.464846.png
1341839328.4953 -1.9007 2.1169 0.8767 0.3374 0.8069 -0.4543 -0.1693 1341839328.496659.png 1341839328.496692.png
1341839328.5252 -1.9002 2.1169 0.8766 0.3383 0.8079 -0.4521 -0.1685 1341839328.528673.png 1341839328.528687.png
1341839328.5664 -1.8998 2.1170 0.8764 0.3375 0.8085 -0.4517 -0.1687 1341839328.564728.png 1341839328.564740.png
1341839328.6253 -1.8990 2.1172 0.8763 0.3385 0.8081 -0.4517 -0.1685 1341839328.625878.png 1341839328.625940.png
1341839328.6564 -1.8989 2.1172 0.8763 0.3390 0.8086 -0.4508 -0.1677 1341839328.657644.png 1341839328.657766.png
1341839328.6952 -1.8990 2.1173 0.8763 0.3387 0.8071 -0.4529 -0.1697 1341839328.693566.png 1341839328.693593.png
1341839328.7252 -1.8991 2.1174 0.8764 0.3395 0.8066 -0.4532 -0.1695 1341839328.725884.png 1341839328.726559.png
