# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341841873.4151 -2.1837 0.6821 1.4854 -0.2651 0.7889 -0.5183 0.1970 1341841873.405959.png 1341841873.405990.png
1341841873.4451 -2.1731 0.6828 1.4867 -0.2588 0.7916 -0.5186 0.1935 1341841873.441849.png 1341841873.441855.png
1341841873.4751 -2.1623 0.6836 1.4878 -0.2544 0.7949 -0.5175 0.1888 1341841873.473830.png 1341841873.473847.png
1341841873.5051 -2.1510 0.6848 1.4888 -0.2495 0.7955 -0.5204 0.1843 1341841873.505817.png 1341841873.505863.png
1341841873.5452 -2.1346 0.6862 1.4899 -0.2432 0.7972 -0.5230 0.1780 1341841873.541941.png 1341841873.541949.png
1341841873.5752 -2.1217 0.6875 1.4907 -0.2396 0.7978 -0.5249 0.1748 1341841873.573844.png 1341841873.573853.png
1341841873.6051 -2.1078 0.6882 1.4913 -0.2356 0.7988 -0.5257 0.1733 1341841873.605856.png 1341841873.605870.png
1341841873.6469 -2.0891 0.6891 1.4920 -0.2274 0.8002 -0.5290 0.1680 1341841873.641903.png 1341841873.642470.png
1341841873.6752 -2.0744 0.6898 1.4926 -0.2228 0.8004 -0.5321 0.1633 1341841873.673815.png 1341841873.673831.png
1341841873.7051 -2.0595 0.6902 1.4935 -0.2204 0.8006 -0.5340 0.1594 1341841873.705839.png 1341841873.705874.png
1341841873.7451 -2.0400 0.6904 1.4947 -0.2134 0.8026 -0.5355 0.1532 1341841873.741952.png 1341841873.742003.png
1341841873.7753 -2.0258 0.6900 1.4955 -0.2072 0.8062 -0.5338 0.1489 1341841873.773802.png 1341841873.773883.png
1341841873.8052 -2.0120 0.6897 1.4970 -0.1998 0.8096 -0.5322 0.1462 1341841873.809969.png 1341841873.809979.png
1341841873.8451 -1.9938 0.6888 1.4990 -0.1900 0.8096 -0.5364 0.1438 1341841873.841910.png 1341841873.841929.png
