# ground truth trajectory
# timestamp tx ty tz qx qy qz qw rgbFileName depthFileName
1341846313.6378 -0.6885 -3.1192 1.4248 -0.7691 -0.0414 -0.0040 0.6378 1341846313.622103.png 1341846313.592088.png
1341846313.6579 -0.6853 -3.1185 1.4248 -0.7690 -0.0418 -0.0020 0.6378 1341846313.654184.png 1341846313.654212.png
1341846313.6879 -0.6800 -3.1176 1.4245 -0.7691 -0.0455 -0.0017 0.6375 1341846313.686156.png 1341846313.686172.png
1341846313.7186 -0.6744 -3.1164 1.4242 -0.7689 -0.0452 -0.0005 0.6377 1341846313.721918.png 1341846313.721932.png
1341846313.7579 -0.6663 -3.1149 1.4239 -0.7695 -0.0445 0.0011 0.6371 1341846313.753994.png 1341846313.754052.png
1341846313.7878 -0.6600 -3.1136 1.4237 -0.7680 -0.0452 0.0010 0.6388 1341846313.789969.png 1341846313.789985.png
1341846313.8179 -0.6536 -3.1126 1.4234 -0.7678 -0.0448 0.0005 0.6391 1341846313.822075.png 1341846313.822093.png
1341846313.8579 -0.6453 -3.1111 1.4224 -0.7680 -0.0420 -0.0013 0.6391 1341846313.853928.png 1341846313.853940.png
1341846313.8878 -0.6389 -3.1106 1.4217 -0.7687 -0.0427 -0.0022 0.6382 1341846313.890011.png 1341846313.890055.png
1341846313.9179 -0.6329 -3.1096 1.4205 -0.7704 -0.0417 -0.0020 0.6362 1341846313.922055.png 1341846313.922606.png
1341846313.9612 -0.6237 -3.1075 1.4200 -0.7710 -0.0362 -0.0052 0.6358 1341846313.957927.png 1341846313.957943.png
1341846313.9879 -0.6179 -3.1066 1.4181 -0.7725 -0.0326 -0.0091 0.6341 1341846313.990058.png 1341846313.990646.png
1341846314.0179 -0.6115 -3.1051 1.4169 -0.7726 -0.0304 -0.0088 0.6341 1341846314.022042.png 1341846314.022058.png
1341846314.0580 -0.6031 -3.1039 1.4150 -0.7761 -0.0266 -0.0097 0.6300 1341846314.057816.png 1341846314.057840.png
1341846314.0878 -0.5960 -3.1024 1.4141 -0.7744 -0.0244 -0.0137 0.6321 1341846314.089801.png 1341846314.089812.png
1341846314.1180 -0.5899 -3.1017 1.4128 -0.7748 -0.0192 -0.0137 0.6318 1341846314.122037.png 1341846314.122046.png
1341846314.1579 -0.5817 -3.1011 1.4113 -0.7767 -0.0150 -0.0153 0.6295 1341846314.157989.png 1341846314.158005.png
1341846314.1879 -0.5755 -3.1005 1.4101 -0.7761 -0.0129 -0.0180 0.6302 1341846314.190094.png 1341846314.190124.png
1341846314.2304 -0.5679 -3.0998 1.4088 -0.7788 -0.0092 -0.0174 0.6270 1341846314.225969.png 1341846314.226054.png
1341846314.2579 -0.5626 -3.0999 1.4081 -0.7801 -0.0092 -0.0190 0.6254 1341846314.257923.png 1341846314.257955.png
1341846314.2879 -0.5574 -3.0993 1.4082 -0.7778 -0.0092 -0.0200 0.6281 1341846314.290052.png 1341846314.290094.png
1341846314.3279 -0.5501 -3.0989 1.4079 -0.7790 -0.0118 -0.0235 0.6265 1341846314.325981.png 1341846314.326013.png
1341846314.3609 -0.5449 -3.0982 1.4088 -0.7781 -0.0087 -0.0251 0.6276 1341846314.357905.png 1341846314.357937.png
1341846314.3885 -0.5398 -3.0982 1.4091 -0.7780 -0.0100 -0.0281 0.6276 1341846314.389899.png 1341846314.389929.png
1341846314.4279 -0.5330 -3.0981 1.4102 -0.7779 -0.0083 -0.0299 0.6276 1341846314.427905.png 1341846314.427105.png
1341846314.4579 -0.5277 -3.0985 1.4110 -0.7775 -0.0069 -0.0354 0.6278 1341846314.458114.png 1341846314.427105.png
1341846314.4978 -0.5212 -3.0995 1.4122 -0.7767 -0.0106 -0.0436 0.6282 1341846314.493987.png 1341846314.493999.png
1341846314.5279 -0.5163 -3.0996 1.4127 -0.7766 -0.0097 -0.0460 0.6283 1341846314.526085.png 1341846314.526098.png
1341846314.5579 -0.5111 -3.0996 1.4140 -0.7770 -0.0058 -0.0456 0.6278 1341846314.558292.png 1341846314.558316.png
